f, dB, idk
+1.00000000000E+008, -9.20735681332E-001, +0.00000000000E+000
+1.00500000000E+008, -9.28682168130E-001, +0.00000000000E+000
+1.01000000000E+008, -9.42797680363E-001, +0.00000000000E+000
+1.01500000000E+008, -9.99471704027E-001, +0.00000000000E+000
+1.02000000000E+008, -1.03113996414E+000, +0.00000000000E+000
+1.02500000000E+008, -1.10514716834E+000, +0.00000000000E+000
+1.03000000000E+008, -1.14963735171E+000, +0.00000000000E+000
+1.03500000000E+008, -1.20690459159E+000, +0.00000000000E+000
+1.04000000000E+008, -1.24407892153E+000, +0.00000000000E+000
+1.04500000000E+008, -1.28475562640E+000, +0.00000000000E+000
+1.05000000000E+008, -1.33313181569E+000, +0.00000000000E+000
+1.05500000000E+008, -1.34306572373E+000, +0.00000000000E+000
+1.06000000000E+008, -1.35643045604E+000, +0.00000000000E+000
+1.06500000000E+008, -1.35472548708E+000, +0.00000000000E+000
+1.07000000000E+008, -1.34687545830E+000, +0.00000000000E+000
+1.07500000000E+008, -1.34973714417E+000, +0.00000000000E+000
+1.08000000000E+008, -1.33931856015E+000, +0.00000000000E+000
+1.08500000000E+008, -1.36319943069E+000, +0.00000000000E+000
+1.09000000000E+008, -1.37101991196E+000, +0.00000000000E+000
+1.09500000000E+008, -1.38036551336E+000, +0.00000000000E+000
+1.10000000000E+008, -1.38289298689E+000, +0.00000000000E+000
+1.10500000000E+008, -1.39319340292E+000, +0.00000000000E+000
+1.11000000000E+008, -1.41930668308E+000, +0.00000000000E+000
+1.11500000000E+008, -1.46634768928E+000, +0.00000000000E+000
+1.12000000000E+008, -1.53096377535E+000, +0.00000000000E+000
+1.12500000000E+008, -1.60044764665E+000, +0.00000000000E+000
+1.13000000000E+008, -1.70529122116E+000, +0.00000000000E+000
+1.13500000000E+008, -1.80989071780E+000, +0.00000000000E+000
+1.14000000000E+008, -1.92914525955E+000, +0.00000000000E+000
+1.14500000000E+008, -2.05571414157E+000, +0.00000000000E+000
+1.15000000000E+008, -2.14359613200E+000, +0.00000000000E+000
+1.15500000000E+008, -2.19791505781E+000, +0.00000000000E+000
+1.16000000000E+008, -2.20968347813E+000, +0.00000000000E+000
+1.16500000000E+008, -2.18695985925E+000, +0.00000000000E+000
+1.17000000000E+008, -2.19060574798E+000, +0.00000000000E+000
+1.17500000000E+008, -2.24738759778E+000, +0.00000000000E+000
+1.18000000000E+008, -2.31443634907E+000, +0.00000000000E+000
+1.18500000000E+008, -2.39452209166E+000, +0.00000000000E+000
+1.19000000000E+008, -2.50646648146E+000, +0.00000000000E+000
+1.19500000000E+008, -2.65550308489E+000, +0.00000000000E+000
+1.20000000000E+008, -2.83644744470E+000, +0.00000000000E+000
+1.20500000000E+008, -3.01712446597E+000, +0.00000000000E+000
+1.21000000000E+008, -3.15666688270E+000, +0.00000000000E+000
+1.21500000000E+008, -3.31557924525E+000, +0.00000000000E+000
+1.22000000000E+008, -3.44971153034E+000, +0.00000000000E+000
+1.22500000000E+008, -3.62251258002E+000, +0.00000000000E+000
+1.23000000000E+008, -3.82871576891E+000, +0.00000000000E+000
+1.23500000000E+008, -4.04600183174E+000, +0.00000000000E+000
+1.24000000000E+008, -4.28122161141E+000, +0.00000000000E+000
+1.24500000000E+008, -4.53776759670E+000, +0.00000000000E+000
+1.25000000000E+008, -4.80400512992E+000, +0.00000000000E+000
+1.25500000000E+008, -5.07077116293E+000, +0.00000000000E+000
+1.26000000000E+008, -5.37409377007E+000, +0.00000000000E+000
+1.26500000000E+008, -5.76184728657E+000, +0.00000000000E+000
+1.27000000000E+008, -6.25611142342E+000, +0.00000000000E+000
+1.27500000000E+008, -6.82691782336E+000, +0.00000000000E+000
+1.28000000000E+008, -7.54939950350E+000, +0.00000000000E+000
+1.28500000000E+008, -8.48608832318E+000, +0.00000000000E+000
+1.29000000000E+008, -9.47378492684E+000, +0.00000000000E+000
+1.29500000000E+008, -1.03669151180E+001, +0.00000000000E+000
+1.30000000000E+008, -1.15191050601E+001, +0.00000000000E+000
+1.30500000000E+008, -1.30413250961E+001, +0.00000000000E+000
+1.31000000000E+008, -1.50373506142E+001, +0.00000000000E+000
+1.31500000000E+008, -1.78461642159E+001, +0.00000000000E+000
+1.32000000000E+008, -2.16087348087E+001, +0.00000000000E+000
+1.32500000000E+008, -2.73589219019E+001, +0.00000000000E+000
+1.33000000000E+008, -4.02298506862E+001, +0.00000000000E+000
+1.33500000000E+008, -3.65578934392E+001, +0.00000000000E+000
+1.34000000000E+008, -3.12327956838E+001, +0.00000000000E+000
+1.34500000000E+008, -2.77773889706E+001, +0.00000000000E+000
+1.35000000000E+008, -2.27618594947E+001, +0.00000000000E+000
+1.35500000000E+008, -1.80969738986E+001, +0.00000000000E+000
+1.36000000000E+008, -1.50537265963E+001, +0.00000000000E+000
+1.36500000000E+008, -1.31983978612E+001, +0.00000000000E+000
+1.37000000000E+008, -1.20793002993E+001, +0.00000000000E+000
+1.37500000000E+008, -1.11991423845E+001, +0.00000000000E+000
