freq,v_in,v_out
100.0E-3,1.000,926.7E-3
102.3E-3,1.000,926.7E-3
104.7E-3,1.000,926.7E-3
107.2E-3,1.000,926.7E-3
109.6E-3,1.000,926.7E-3
112.2E-3,1.000,926.7E-3
114.8E-3,1.000,926.6E-3
117.5E-3,1.000,926.6E-3
120.2E-3,1.000,926.6E-3
123.0E-3,1.000,926.6E-3
125.9E-3,1.000,926.6E-3
128.8E-3,1.000,926.6E-3
131.8E-3,1.000,926.6E-3
134.9E-3,1.000,926.5E-3
138.0E-3,1.000,926.5E-3
141.3E-3,1.000,926.5E-3
144.5E-3,1.000,926.5E-3
147.9E-3,1.000,926.5E-3
151.4E-3,1.000,926.5E-3
154.9E-3,1.000,926.4E-3
158.5E-3,1.000,926.4E-3
162.2E-3,1.000,926.4E-3
166.0E-3,1.000,926.4E-3
169.8E-3,1.000,926.3E-3
173.8E-3,1.000,926.3E-3
177.8E-3,1.000,926.3E-3
182.0E-3,1.000,926.3E-3
186.2E-3,1.000,926.2E-3
190.5E-3,1.000,926.2E-3
195.0E-3,1.000,926.2E-3
199.5E-3,1.000,926.1E-3
204.2E-3,1.000,926.1E-3
208.9E-3,1.000,926.0E-3
213.8E-3,1.000,926.0E-3
218.8E-3,1.000,926.0E-3
223.9E-3,1.000,925.9E-3
229.1E-3,1.000,925.9E-3
234.4E-3,1.000,925.8E-3
239.9E-3,1.000,925.8E-3
245.5E-3,1.000,925.7E-3
251.2E-3,1.000,925.7E-3
257.0E-3,1.000,925.6E-3
263.0E-3,1.000,925.5E-3
269.2E-3,1.000,925.5E-3
275.4E-3,1.000,925.4E-3
281.8E-3,1.000,925.3E-3
288.4E-3,1.000,925.3E-3
295.1E-3,1.000,925.2E-3
302.0E-3,1.000,925.1E-3
309.0E-3,1.000,925.0E-3
316.2E-3,1.000,924.9E-3
323.6E-3,1.000,924.8E-3
331.1E-3,1.000,924.8E-3
338.8E-3,1.000,924.6E-3
346.7E-3,1.000,924.5E-3
354.8E-3,1.000,924.4E-3
363.1E-3,1.000,924.3E-3
371.5E-3,1.000,924.2E-3
380.2E-3,1.000,924.1E-3
389.0E-3,1.000,923.9E-3
398.1E-3,1.000,923.8E-3
407.4E-3,1.000,923.7E-3
416.9E-3,1.000,923.5E-3
426.6E-3,1.000,923.3E-3
436.5E-3,1.000,923.2E-3
446.7E-3,1.000,923.0E-3
457.1E-3,1.000,922.8E-3
467.7E-3,1.000,922.6E-3
478.6E-3,1.000,922.4E-3
489.8E-3,1.000,922.2E-3
501.2E-3,1.000,922.0E-3
512.9E-3,1.000,921.8E-3
524.8E-3,1.000,921.5E-3
537.0E-3,1.000,921.3E-3
549.5E-3,1.000,921.0E-3
562.3E-3,1.000,920.7E-3
575.4E-3,1.000,920.5E-3
588.8E-3,1.000,920.2E-3
602.6E-3,1.000,919.8E-3
616.6E-3,1.000,919.5E-3
631.0E-3,1.000,919.2E-3
645.7E-3,1.000,918.8E-3
660.7E-3,1.000,918.4E-3
676.1E-3,1.000,918.0E-3
691.8E-3,1.000,917.6E-3
707.9E-3,1.000,917.2E-3
724.4E-3,1.000,916.7E-3
741.3E-3,1.000,916.3E-3
758.6E-3,1.000,915.8E-3
776.2E-3,1.000,915.3E-3
794.3E-3,1.000,914.7E-3
812.8E-3,1.000,914.2E-3
831.8E-3,1.000,913.6E-3
851.1E-3,1.000,913.0E-3
871.0E-3,1.000,912.3E-3
891.3E-3,1.000,911.6E-3
912.0E-3,1.000,910.9E-3
933.3E-3,1.000,910.2E-3
955.0E-3,1.000,909.5E-3
977.2E-3,1.000,908.7E-3
1.000,1.000,907.8E-3
1.023,1.000,906.9E-3
1.047,1.000,906.0E-3
1.072,1.000,905.1E-3
1.096,1.000,904.1E-3
