freq,v_out,v_in
100.0E-3,970.7E-3,1.000
102.3E-3,970.7E-3,1.000
104.7E-3,970.7E-3,1.000
107.2E-3,970.7E-3,1.000
109.6E-3,970.7E-3,1.000
112.2E-3,970.7E-3,1.000
114.8E-3,970.7E-3,1.000
117.5E-3,970.7E-3,1.000
120.2E-3,970.7E-3,1.000
123.0E-3,970.7E-3,1.000
125.9E-3,970.7E-3,1.000
128.8E-3,970.6E-3,1.000
131.8E-3,970.6E-3,1.000
134.9E-3,970.6E-3,1.000
138.0E-3,970.6E-3,1.000
141.3E-3,970.6E-3,1.000
144.5E-3,970.6E-3,1.000
147.9E-3,970.6E-3,1.000
151.4E-3,970.5E-3,1.000
154.9E-3,970.5E-3,1.000
158.5E-3,970.5E-3,1.000
162.2E-3,970.5E-3,1.000
166.0E-3,970.5E-3,1.000
169.8E-3,970.4E-3,1.000
173.8E-3,970.4E-3,1.000
177.8E-3,970.4E-3,1.000
182.0E-3,970.4E-3,1.000
186.2E-3,970.4E-3,1.000
190.5E-3,970.3E-3,1.000
195.0E-3,970.3E-3,1.000
199.5E-3,970.3E-3,1.000
204.2E-3,970.2E-3,1.000
208.9E-3,970.2E-3,1.000
213.8E-3,970.2E-3,1.000
218.8E-3,970.1E-3,1.000
223.9E-3,970.1E-3,1.000
229.1E-3,970.1E-3,1.000
234.4E-3,970.0E-3,1.000
239.9E-3,970.0E-3,1.000
245.5E-3,970.0E-3,1.000
251.2E-3,969.9E-3,1.000
257.0E-3,969.9E-3,1.000
263.0E-3,969.8E-3,1.000
269.2E-3,969.8E-3,1.000
275.4E-3,969.7E-3,1.000
281.8E-3,969.6E-3,1.000
288.4E-3,969.6E-3,1.000
295.1E-3,969.5E-3,1.000
302.0E-3,969.5E-3,1.000
309.0E-3,969.4E-3,1.000
316.2E-3,969.3E-3,1.000
323.6E-3,969.2E-3,1.000
331.1E-3,969.2E-3,1.000
338.8E-3,969.1E-3,1.000
346.7E-3,969.0E-3,1.000
354.8E-3,968.9E-3,1.000
363.1E-3,968.8E-3,1.000
371.5E-3,968.7E-3,1.000
380.2E-3,968.6E-3,1.000
389.0E-3,968.5E-3,1.000
398.1E-3,968.4E-3,1.000
407.4E-3,968.3E-3,1.000
416.9E-3,968.2E-3,1.000
426.6E-3,968.0E-3,1.000
436.5E-3,967.9E-3,1.000
446.7E-3,967.8E-3,1.000
457.1E-3,967.6E-3,1.000
467.7E-3,967.4E-3,1.000
478.6E-3,967.3E-3,1.000
489.8E-3,967.1E-3,1.000
501.2E-3,966.9E-3,1.000
512.9E-3,966.8E-3,1.000
524.8E-3,966.6E-3,1.000
537.0E-3,966.4E-3,1.000
549.5E-3,966.1E-3,1.000
562.3E-3,965.9E-3,1.000
575.4E-3,965.7E-3,1.000
588.8E-3,965.4E-3,1.000
602.6E-3,965.2E-3,1.000
616.6E-3,964.9E-3,1.000
631.0E-3,964.6E-3,1.000
645.7E-3,964.3E-3,1.000
