freq,v_in,v_out
100.0E-3,1.000,608.3E-3
102.3E-3,1.000,607.2E-3
104.7E-3,1.000,606.1E-3
107.2E-3,1.000,604.9E-3
109.6E-3,1.000,603.7E-3
112.2E-3,1.000,602.5E-3
114.8E-3,1.000,601.1E-3
117.5E-3,1.000,599.8E-3
120.2E-3,1.000,598.4E-3
123.0E-3,1.000,596.9E-3
125.9E-3,1.000,595.4E-3
128.8E-3,1.000,593.8E-3
131.8E-3,1.000,592.1E-3
134.9E-3,1.000,590.4E-3
138.0E-3,1.000,588.6E-3
141.3E-3,1.000,586.8E-3
144.5E-3,1.000,584.8E-3
147.9E-3,1.000,582.8E-3
151.4E-3,1.000,580.8E-3
154.9E-3,1.000,578.6E-3
158.5E-3,1.000,576.4E-3
162.2E-3,1.000,574.1E-3
166.0E-3,1.000,571.8E-3
169.8E-3,1.000,569.3E-3
173.8E-3,1.000,566.8E-3
177.8E-3,1.000,564.2E-3
182.0E-3,1.000,561.5E-3
186.2E-3,1.000,558.7E-3
190.5E-3,1.000,555.8E-3
195.0E-3,1.000,552.9E-3
199.5E-3,1.000,549.8E-3
204.2E-3,1.000,546.7E-3
208.9E-3,1.000,543.5E-3
213.8E-3,1.000,540.1E-3
218.8E-3,1.000,536.7E-3
223.9E-3,1.000,533.2E-3
229.1E-3,1.000,529.6E-3
234.4E-3,1.000,525.9E-3
239.9E-3,1.000,522.2E-3
245.5E-3,1.000,518.3E-3
251.2E-3,1.000,514.3E-3
257.0E-3,1.000,510.3E-3
263.0E-3,1.000,506.1E-3
269.2E-3,1.000,501.9E-3
275.4E-3,1.000,497.5E-3
281.8E-3,1.000,493.1E-3
288.4E-3,1.000,488.6E-3
295.1E-3,1.000,484.1E-3
302.0E-3,1.000,479.4E-3
309.0E-3,1.000,474.7E-3
316.2E-3,1.000,469.9E-3
323.6E-3,1.000,465.0E-3
331.1E-3,1.000,460.0E-3
338.8E-3,1.000,455.0E-3
346.7E-3,1.000,449.9E-3
354.8E-3,1.000,444.8E-3
363.1E-3,1.000,439.6E-3
371.5E-3,1.000,434.3E-3
380.2E-3,1.000,429.0E-3
389.0E-3,1.000,423.6E-3
398.1E-3,1.000,418.2E-3
407.4E-3,1.000,412.8E-3
416.9E-3,1.000,407.3E-3
426.6E-3,1.000,401.8E-3
436.5E-3,1.000,396.3E-3
446.7E-3,1.000,390.7E-3
457.1E-3,1.000,385.2E-3
467.7E-3,1.000,379.6E-3
478.6E-3,1.000,374.0E-3
489.8E-3,1.000,368.4E-3
501.2E-3,1.000,362.8E-3
512.9E-3,1.000,357.2E-3
524.8E-3,1.000,351.6E-3
537.0E-3,1.000,346.0E-3
549.5E-3,1.000,340.4E-3
562.3E-3,1.000,334.8E-3
575.4E-3,1.000,329.3E-3
588.8E-3,1.000,323.8E-3
602.6E-3,1.000,318.3E-3
616.6E-3,1.000,312.8E-3
631.0E-3,1.000,307.4E-3
645.7E-3,1.000,302.0E-3
660.7E-3,1.000,296.7E-3
676.1E-3,1.000,291.4E-3
691.8E-3,1.000,286.1E-3
707.9E-3,1.000,280.9E-3
724.4E-3,1.000,275.7E-3
741.3E-3,1.000,270.6E-3
758.6E-3,1.000,265.6E-3
776.2E-3,1.000,260.5E-3
794.3E-3,1.000,255.6E-3
812.8E-3,1.000,250.7E-3
831.8E-3,1.000,245.9E-3
851.1E-3,1.000,241.1E-3
871.0E-3,1.000,236.4E-3
891.3E-3,1.000,231.7E-3
912.0E-3,1.000,227.1E-3
933.3E-3,1.000,222.6E-3
955.0E-3,1.000,218.2E-3
977.2E-3,1.000,213.8E-3
1.000,1.000,209.4E-3
1.023,1.000,205.2E-3
1.047,1.000,201.0E-3
1.072,1.000,196.9E-3
1.096,1.000,192.8E-3
1.122,1.000,188.8E-3
1.148,1.000,184.9E-3
1.175,1.000,181.0E-3
1.202,1.000,177.2E-3
1.230,1.000,173.5E-3
1.259,1.000,169.8E-3
1.288,1.000,166.2E-3
1.318,1.000,162.7E-3
1.349,1.000,159.2E-3
1.380,1.000,155.8E-3
1.413,1.000,152.5E-3
1.445,1.000,149.2E-3
1.479,1.000,146.0E-3
1.514,1.000,142.9E-3
1.549,1.000,139.8E-3
1.585,1.000,136.7E-3
1.622,1.000,133.8E-3
1.660,1.000,130.9E-3
1.698,1.000,128.0E-3
1.738,1.000,125.2E-3
1.778,1.000,122.5E-3
1.820,1.000,119.8E-3
1.862,1.000,117.2E-3
1.905,1.000,114.6E-3
1.950,1.000,112.0E-3
1.995,1.000,109.6E-3
2.042,1.000,107.2E-3
2.089,1.000,104.8E-3
2.138,1.000,102.5E-3
2.188,1.000,100.2E-3
2.239,1.000,97.97E-3
2.291,1.000,95.79E-3
2.344,1.000,93.66E-3
2.399,1.000,91.58E-3
2.455,1.000,89.53E-3
2.512,1.000,87.54E-3
2.570,1.000,85.58E-3
2.630,1.000,83.67E-3
2.692,1.000,81.80E-3
2.754,1.000,79.97E-3
2.818,1.000,78.18E-3
2.884,1.000,76.43E-3
2.951,1.000,74.71E-3
3.020,1.000,73.04E-3
3.090,1.000,71.40E-3
3.162,1.000,69.79E-3
3.236,1.000,68.23E-3
3.311,1.000,66.69E-3
3.388,1.000,65.19E-3
3.467,1.000,63.73E-3
3.548,1.000,62.29E-3
3.631,1.000,60.89E-3
3.715,1.000,59.52E-3
3.802,1.000,58.18E-3
3.890,1.000,56.86E-3
3.981,1.000,55.58E-3
4.074,1.000,54.33E-3
4.169,1.000,53.10E-3
4.266,1.000,51.90E-3
4.365,1.000,50.73E-3
4.467,1.000,49.59E-3
4.571,1.000,48.47E-3
4.677,1.000,47.37E-3
4.786,1.000,46.30E-3
4.898,1.000,45.26E-3
5.012,1.000,44.24E-3
5.129,1.000,43.24E-3
5.248,1.000,42.26E-3
5.370,1.000,41.30E-3
5.495,1.000,40.37E-3
5.623,1.000,39.46E-3
5.754,1.000,38.57E-3
5.888,1.000,37.70E-3
6.026,1.000,36.84E-3
6.166,1.000,36.01E-3
6.310,1.000,35.20E-3
6.457,1.000,34.40E-3
6.607,1.000,33.62E-3
6.761,1.000,32.86E-3
6.918,1.000,32.12E-3
7.079,1.000,31.40E-3
7.244,1.000,30.69E-3
7.413,1.000,29.99E-3
7.586,1.000,29.32E-3
7.762,1.000,28.66E-3
7.943,1.000,28.01E-3
8.128,1.000,27.38E-3
8.318,1.000,26.76E-3
8.511,1.000,26.16E-3
8.710,1.000,25.57E-3
8.913,1.000,24.99E-3
9.120,1.000,24.43E-3
9.333,1.000,23.88E-3
9.550,1.000,23.34E-3
9.772,1.000,22.81E-3
10.00,1.000,22.30E-3
10.23,1.000,21.80E-3
10.47,1.000,21.31E-3
10.72,1.000,20.83E-3
10.96,1.000,20.36E-3
11.22,1.000,19.91E-3
11.48,1.000,19.46E-3
11.75,1.000,19.02E-3
12.02,1.000,18.60E-3
12.30,1.000,18.18E-3
12.59,1.000,17.77E-3
12.88,1.000,17.38E-3
13.18,1.000,16.99E-3
13.49,1.000,16.61E-3
13.80,1.000,16.24E-3
14.13,1.000,15.88E-3
14.45,1.000,15.52E-3
14.79,1.000,15.18E-3
15.14,1.000,14.84E-3
15.49,1.000,14.51E-3
15.85,1.000,14.19E-3
16.22,1.000,13.88E-3
16.60,1.000,13.57E-3
16.98,1.000,13.27E-3
