freq,v_out1,v_out2,v_out3,v_in
100.0E-3,946.0E-3,918.0E-3,845.7E-3,1.000
102.3E-3,945.9E-3,917.9E-3,845.2E-3,1.000
104.7E-3,945.9E-3,917.8E-3,844.7E-3,1.000
107.2E-3,945.9E-3,917.6E-3,844.1E-3,1.000
109.6E-3,945.8E-3,917.5E-3,843.5E-3,1.000
112.2E-3,945.8E-3,917.3E-3,842.9E-3,1.000
114.8E-3,945.8E-3,917.2E-3,842.2E-3,1.000
117.5E-3,945.7E-3,917.0E-3,841.5E-3,1.000
120.2E-3,945.7E-3,916.9E-3,840.8E-3,1.000
123.0E-3,945.6E-3,916.7E-3,840.1E-3,1.000
125.9E-3,945.6E-3,916.5E-3,839.3E-3,1.000
128.8E-3,945.5E-3,916.3E-3,838.5E-3,1.000
131.8E-3,945.5E-3,916.1E-3,837.6E-3,1.000
134.9E-3,945.4E-3,915.9E-3,836.7E-3,1.000
138.0E-3,945.4E-3,915.7E-3,835.8E-3,1.000
141.3E-3,945.3E-3,915.5E-3,834.8E-3,1.000
144.5E-3,945.2E-3,915.2E-3,833.8E-3,1.000
147.9E-3,945.2E-3,915.0E-3,832.8E-3,1.000
151.4E-3,945.1E-3,914.7E-3,831.7E-3,1.000
154.9E-3,945.0E-3,914.4E-3,830.5E-3,1.000
158.5E-3,945.0E-3,914.2E-3,829.3E-3,1.000
162.2E-3,944.9E-3,913.9E-3,828.1E-3,1.000
166.0E-3,944.8E-3,913.5E-3,826.8E-3,1.000
169.8E-3,944.7E-3,913.2E-3,825.4E-3,1.000
173.8E-3,944.6E-3,912.9E-3,824.0E-3,1.000
177.8E-3,944.5E-3,912.5E-3,822.6E-3,1.000
182.0E-3,944.4E-3,912.1E-3,821.0E-3,1.000
186.2E-3,944.3E-3,911.8E-3,819.4E-3,1.000
190.5E-3,944.2E-3,911.3E-3,817.8E-3,1.000
195.0E-3,944.1E-3,910.9E-3,816.1E-3,1.000
199.5E-3,944.0E-3,910.5E-3,814.3E-3,1.000
204.2E-3,943.8E-3,910.0E-3,812.4E-3,1.000
208.9E-3,943.7E-3,909.5E-3,810.5E-3,1.000
213.8E-3,943.6E-3,909.0E-3,808.4E-3,1.000
218.8E-3,943.4E-3,908.5E-3,806.4E-3,1.000
223.9E-3,943.3E-3,907.9E-3,804.2E-3,1.000
229.1E-3,943.1E-3,907.3E-3,801.9E-3,1.000
234.4E-3,942.9E-3,906.7E-3,799.6E-3,1.000
239.9E-3,942.8E-3,906.1E-3,797.1E-3,1.000
245.5E-3,942.6E-3,905.4E-3,794.6E-3,1.000
251.2E-3,942.4E-3,904.7E-3,792.0E-3,1.000
257.0E-3,942.2E-3,904.0E-3,789.3E-3,1.000
263.0E-3,942.0E-3,903.2E-3,786.5E-3,1.000
269.2E-3,941.8E-3,902.4E-3,783.5E-3,1.000
275.4E-3,941.5E-3,901.6E-3,780.5E-3,1.000
281.8E-3,941.3E-3,900.7E-3,777.4E-3,1.000
288.4E-3,941.1E-3,899.8E-3,774.2E-3,1.000
295.1E-3,940.8E-3,898.9E-3,770.8E-3,1.000
302.0E-3,940.5E-3,897.9E-3,767.4E-3,1.000
309.0E-3,940.2E-3,896.9E-3,763.8E-3,1.000
316.2E-3,939.9E-3,895.8E-3,760.1E-3,1.000
323.6E-3,939.6E-3,894.7E-3,756.3E-3,1.000
331.1E-3,939.3E-3,893.5E-3,752.4E-3,1.000
338.8E-3,938.9E-3,892.3E-3,748.4E-3,1.000
346.7E-3,938.6E-3,891.0E-3,744.2E-3,1.000
354.8E-3,938.2E-3,889.7E-3,740.0E-3,1.000
363.1E-3,937.8E-3,888.3E-3,735.6E-3,1.000
371.5E-3,937.4E-3,886.9E-3,731.0E-3,1.000
380.2E-3,937.0E-3,885.4E-3,726.4E-3,1.000
389.0E-3,936.5E-3,883.8E-3,721.6E-3,1.000
398.1E-3,936.1E-3,882.2E-3,716.7E-3,1.000
407.4E-3,935.6E-3,880.5E-3,711.7E-3,1.000
416.9E-3,935.1E-3,878.8E-3,706.5E-3,1.000
426.6E-3,934.5E-3,876.9E-3,701.2E-3,1.000
436.5E-3,934.0E-3,875.0E-3,695.8E-3,1.000
446.7E-3,933.4E-3,873.0E-3,690.3E-3,1.000
457.1E-3,932.8E-3,871.0E-3,684.7E-3,1.000
467.7E-3,932.1E-3,868.8E-3,678.9E-3,1.000
478.6E-3,931.5E-3,866.6E-3,673.0E-3,1.000
489.8E-3,930.8E-3,864.3E-3,667.0E-3,1.000
501.2E-3,930.0E-3,861.9E-3,660.9E-3,1.000
512.9E-3,929.3E-3,859.4E-3,654.7E-3,1.000
524.8E-3,928.5E-3,856.8E-3,648.3E-3,1.000
537.0E-3,927.6E-3,854.1E-3,641.9E-3,1.000
549.5E-3,926.8E-3,851.3E-3,635.4E-3,1.000
562.3E-3,925.9E-3,848.4E-3,628.7E-3,1.000
575.4E-3,924.9E-3,845.4E-3,622.0E-3,1.000
588.8E-3,923.9E-3,842.3E-3,615.2E-3,1.000
602.6E-3,922.9E-3,839.1E-3,608.3E-3,1.000
616.6E-3,921.8E-3,835.8E-3,601.3E-3,1.000
631.0E-3,920.7E-3,832.4E-3,594.2E-3,1.000
645.7E-3,919.5E-3,828.8E-3,587.1E-3,1.000
660.7E-3,918.3E-3,825.1E-3,579.8E-3,1.000
676.1E-3,917.0E-3,821.3E-3,572.6E-3,1.000
691.8E-3,915.7E-3,817.4E-3,565.2E-3,1.000
707.9E-3,914.3E-3,813.4E-3,557.9E-3,1.000
724.4E-3,912.9E-3,809.2E-3,550.4E-3,1.000
741.3E-3,911.4E-3,804.9E-3,543.0E-3,1.000
758.6E-3,909.8E-3,800.5E-3,535.5E-3,1.000
776.2E-3,908.2E-3,795.9E-3,527.9E-3,1.000
794.3E-3,906.5E-3,791.2E-3,520.4E-3,1.000
812.8E-3,904.7E-3,786.4E-3,512.8E-3,1.000
831.8E-3,902.9E-3,781.4E-3,505.2E-3,1.000
851.1E-3,900.9E-3,776.3E-3,497.6E-3,1.000
871.0E-3,899.0E-3,771.1E-3,490.0E-3,1.000
891.3E-3,896.9E-3,765.7E-3,482.4E-3,1.000
912.0E-3,894.7E-3,760.2E-3,474.8E-3,1.000
933.3E-3,892.5E-3,754.6E-3,467.3E-3,1.000
955.0E-3,890.2E-3,748.8E-3,459.7E-3,1.000
977.2E-3,887.7E-3,743.0E-3,452.2E-3,1.000
1.000,885.2E-3,736.9E-3,444.7E-3,1.000
1.023,882.6E-3,730.8E-3,437.2E-3,1.000
1.047,879.9E-3,724.5E-3,429.8E-3,1.000
1.072,877.1E-3,718.1E-3,422.4E-3,1.000
1.096,874.2E-3,711.5E-3,415.1E-3,1.000
1.122,871.2E-3,704.9E-3,407.8E-3,1.000
1.148,868.0E-3,698.1E-3,400.5E-3,1.000
1.175,864.8E-3,691.2E-3,393.4E-3,1.000
1.202,861.5E-3,684.2E-3,386.3E-3,1.000
1.230,858.0E-3,677.1E-3,379.2E-3,1.000
1.259,854.4E-3,669.9E-3,372.2E-3,1.000
1.288,850.7E-3,662.6E-3,365.3E-3,1.000
