freq,v_in, v_out
1.00E-02,1,9.51E-01
1.02E-02,1,9.51E-01
1.05E-02,1,9.51E-01
1.07E-02,1,9.51E-01
1.10E-02,1,9.51E-01
1.12E-02,1,9.51E-01
1.15E-02,1,9.51E-01
1.18E-02,1,9.51E-01
1.20E-02,1,9.51E-01
1.23E-02,1,9.51E-01
1.26E-02,1,9.51E-01
1.29E-02,1,9.51E-01
1.32E-02,1,9.51E-01
1.35E-02,1,9.51E-01
1.38E-02,1,9.51E-01
1.41E-02,1,9.51E-01
1.45E-02,1,9.51E-01
1.48E-02,1,9.51E-01
1.51E-02,1,9.51E-01
1.55E-02,1,9.51E-01
1.59E-02,1,9.51E-01
1.62E-02,1,9.51E-01
1.66E-02,1,9.51E-01
1.70E-02,1,9.51E-01
1.74E-02,1,9.51E-01
1.78E-02,1,9.51E-01
1.82E-02,1,9.51E-01
1.86E-02,1,9.51E-01
1.91E-02,1,9.51E-01
1.95E-02,1,9.51E-01
2.00E-02,1,9.51E-01
2.04E-02,1,9.51E-01
2.09E-02,1,9.51E-01
2.14E-02,1,9.51E-01
2.19E-02,1,9.51E-01
2.24E-02,1,9.51E-01
2.29E-02,1,9.51E-01
2.34E-02,1,9.51E-01
2.40E-02,1,9.51E-01
2.46E-02,1,9.51E-01
2.51E-02,1,9.51E-01
2.57E-02,1,9.51E-01
2.63E-02,1,9.51E-01
2.69E-02,1,9.51E-01
2.75E-02,1,9.51E-01
2.82E-02,1,9.51E-01
2.88E-02,1,9.51E-01
2.95E-02,1,9.51E-01
3.02E-02,1,9.51E-01
3.09E-02,1,9.51E-01
3.16E-02,1,9.51E-01
3.24E-02,1,9.51E-01
3.31E-02,1,9.51E-01
3.39E-02,1,9.51E-01
3.47E-02,1,9.51E-01
3.55E-02,1,9.51E-01
3.63E-02,1,9.51E-01
3.72E-02,1,9.51E-01
3.80E-02,1,9.51E-01
3.89E-02,1,9.51E-01
3.98E-02,1,9.51E-01
4.07E-02,1,9.51E-01
4.17E-02,1,9.51E-01
4.27E-02,1,9.51E-01
4.37E-02,1,9.51E-01
4.47E-02,1,9.51E-01
4.57E-02,1,9.51E-01
4.68E-02,1,9.51E-01
4.79E-02,1,9.51E-01
4.90E-02,1,9.51E-01
5.01E-02,1,9.51E-01
5.13E-02,1,9.51E-01
5.25E-02,1,9.51E-01
5.37E-02,1,9.51E-01
5.50E-02,1,9.51E-01
5.62E-02,1,9.51E-01
5.75E-02,1,9.51E-01
5.89E-02,1,9.51E-01
6.03E-02,1,9.51E-01
6.17E-02,1,9.51E-01
6.31E-02,1,9.50E-01
6.46E-02,1,9.50E-01
6.61E-02,1,9.50E-01
6.76E-02,1,9.50E-01
6.92E-02,1,9.50E-01
7.08E-02,1,9.50E-01
7.24E-02,1,9.50E-01
7.41E-02,1,9.50E-01
7.59E-02,1,9.50E-01
7.76E-02,1,9.50E-01
7.94E-02,1,9.50E-01
8.13E-02,1,9.50E-01
8.32E-02,1,9.50E-01
8.51E-02,1,9.50E-01
8.71E-02,1,9.50E-01
8.91E-02,1,9.50E-01
9.12E-02,1,9.50E-01
9.33E-02,1,9.50E-01
9.55E-02,1,9.50E-01
9.77E-02,1,9.50E-01
1.00E-01,1,9.50E-01
1.02E-01,1,9.50E-01
1.05E-01,1,9.50E-01
1.07E-01,1,9.50E-01
1.10E-01,1,9.50E-01
1.12E-01,1,9.50E-01
1.15E-01,1,9.50E-01
1.18E-01,1,9.50E-01
1.20E-01,1,9.50E-01
1.23E-01,1,9.50E-01
1.26E-01,1,9.50E-01
1.29E-01,1,9.50E-01
