freq, v_out
10.00E-3,950.6E-3
10.23E-3,950.6E-3
10.47E-3,950.6E-3
10.72E-3,950.6E-3
10.96E-3,950.6E-3
11.22E-3,950.6E-3
11.48E-3,950.6E-3
11.75E-3,950.6E-3
12.02E-3,950.6E-3
12.30E-3,950.6E-3
12.59E-3,950.6E-3
12.88E-3,950.6E-3
13.18E-3,950.6E-3
13.49E-3,950.6E-3
13.80E-3,950.6E-3
14.13E-3,950.6E-3
14.45E-3,950.6E-3
14.79E-3,950.6E-3
15.14E-3,950.6E-3
15.49E-3,950.6E-3
15.85E-3,950.6E-3
16.22E-3,950.6E-3
16.60E-3,950.6E-3
16.98E-3,950.6E-3
17.38E-3,950.6E-3
17.78E-3,950.6E-3
18.20E-3,950.6E-3
18.62E-3,950.6E-3
19.05E-3,950.6E-3
19.50E-3,950.6E-3
19.95E-3,950.6E-3
20.42E-3,950.6E-3
20.89E-3,950.6E-3
21.38E-3,950.6E-3
21.88E-3,950.6E-3
22.39E-3,950.6E-3
22.91E-3,950.6E-3
23.44E-3,950.6E-3
23.99E-3,950.6E-3
24.55E-3,950.6E-3
25.12E-3,950.6E-3
25.70E-3,950.6E-3
26.30E-3,950.6E-3
26.92E-3,950.6E-3
27.54E-3,950.6E-3
28.18E-3,950.6E-3
28.84E-3,950.6E-3
29.51E-3,950.6E-3
30.20E-3,950.6E-3
30.90E-3,950.6E-3
31.62E-3,950.6E-3
32.36E-3,950.6E-3
33.11E-3,950.6E-3
33.88E-3,950.6E-3
34.67E-3,950.6E-3
35.48E-3,950.6E-3
36.31E-3,950.6E-3
37.15E-3,950.6E-3
38.02E-3,950.6E-3
38.90E-3,950.6E-3
39.81E-3,950.6E-3
40.74E-3,950.6E-3
41.69E-3,950.6E-3
42.66E-3,950.5E-3
43.65E-3,950.5E-3
44.67E-3,950.5E-3
45.71E-3,950.5E-3
46.77E-3,950.5E-3
47.86E-3,950.5E-3
48.98E-3,950.5E-3
50.12E-3,950.5E-3
51.29E-3,950.5E-3
