Cf,VeffA,VeffB,f,b
20.00E-12,25.08E-3,236.1E-3,2.983,4.842
38.00E-12,25.08E-3,236.1E-3,1.570,2.599
56.00E-12,25.08E-3,236.1E-3,1.065,1.778
74.00E-12,25.08E-3,236.1E-3,806.3E-3,1.354
92.00E-12,25.08E-3,236.1E-3,648.6E-3,1.094
110.0E-12,25.08E-3,236.1E-3,542.4E-3,919.8E-3
128.0E-12,25.08E-3,236.1E-3,466.2E-3,794.5E-3
146.0E-12,25.08E-3,236.1E-3,408.7E-3,700.4E-3
164.0E-12,25.08E-3,236.1E-3,363.8E-3,627.2E-3
182.0E-12,25.08E-3,236.1E-3,327.8E-3,568.7E-3
200.0E-12,25.08E-3,236.1E-3,298.3E-3,521.0E-3
