freq,v_out1,v_out2,v_out3,v_out4,v_out5,v_out6,v_out7,v_out numF 73  (V),v_out numF 82  (V),v_out numF 91  (V),v_out numF 100  (V),/v_in numF 10  (V),/v_in numF 19  (V),/v_in numF 28  (V),/v_in numF 37  (V),/v_in numF 46  (V),/v_in numF 55  (V),/v_in numF 64  (V),/v_in numF 73  (V),/v_in numF 82  (V),/v_in numF 91  (V),v_in
100.0E-3,977.3E-3,957.7E-3,938.9E-3,920.7E-3,903.3E-3,886.4E-3,870.2E-3,854.5E-3,839.4E-3,824.7E-3,810.6E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
102.3E-3,977.3E-3,957.7E-3,938.9E-3,920.7E-3,903.2E-3,886.4E-3,870.2E-3,854.5E-3,839.3E-3,824.7E-3,810.6E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
104.7E-3,977.3E-3,957.7E-3,938.9E-3,920.7E-3,903.2E-3,886.4E-3,870.1E-3,854.4E-3,839.3E-3,824.6E-3,810.5E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
107.2E-3,977.3E-3,957.7E-3,938.9E-3,920.7E-3,903.2E-3,886.4E-3,870.1E-3,854.4E-3,839.2E-3,824.6E-3,810.4E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
109.6E-3,977.3E-3,957.7E-3,938.8E-3,920.7E-3,903.2E-3,886.3E-3,870.1E-3,854.4E-3,839.2E-3,824.5E-3,810.4E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
112.2E-3,977.3E-3,957.7E-3,938.8E-3,920.7E-3,903.2E-3,886.3E-3,870.0E-3,854.3E-3,839.1E-3,824.5E-3,810.3E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
114.8E-3,977.3E-3,957.7E-3,938.8E-3,920.7E-3,903.2E-3,886.3E-3,870.0E-3,854.3E-3,839.1E-3,824.4E-3,810.2E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
117.5E-3,977.3E-3,957.7E-3,938.8E-3,920.6E-3,903.1E-3,886.3E-3,870.0E-3,854.2E-3,839.0E-3,824.4E-3,810.2E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
120.2E-3,977.3E-3,957.7E-3,938.8E-3,920.6E-3,903.1E-3,886.2E-3,869.9E-3,854.2E-3,839.0E-3,824.3E-3,810.1E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
123.0E-3,977.3E-3,957.7E-3,938.8E-3,920.6E-3,903.1E-3,886.2E-3,869.9E-3,854.1E-3,838.9E-3,824.2E-3,810.0E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
125.9E-3,977.3E-3,957.7E-3,938.8E-3,920.6E-3,903.1E-3,886.2E-3,869.8E-3,854.1E-3,838.9E-3,824.2E-3,809.9E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
128.8E-3,977.3E-3,957.7E-3,938.8E-3,920.6E-3,903.0E-3,886.1E-3,869.8E-3,854.0E-3,838.8E-3,824.1E-3,809.9E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
131.8E-3,977.3E-3,957.7E-3,938.8E-3,920.6E-3,903.0E-3,886.1E-3,869.8E-3,854.0E-3,838.7E-3,824.0E-3,809.8E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
134.9E-3,977.3E-3,957.7E-3,938.8E-3,920.5E-3,903.0E-3,886.1E-3,869.7E-3,853.9E-3,838.7E-3,823.9E-3,809.7E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
