time,v_in,v_out
0.000,900.0E-3,901.4E-3
23.62E-3,901.2E-3,901.0E-3
48.53E-3,902.4E-3,900.2E-3
88.29E-3,904.4E-3,898.7E-3
118.2E-3,905.9E-3,897.4E-3
164.5E-3,908.3E-3,895.3E-3
213.1E-3,910.7E-3,893.0E-3
272.9E-3,913.7E-3,890.2E-3
358.3E-3,918.0E-3,886.3E-3
507.0E-3,925.5E-3,879.3E-3
720.2E-3,936.2E-3,869.4E-3
958.3E-3,948.1E-3,858.3E-3
1.207,960.6E-3,846.8E-3
1.461,973.3E-3,835.0E-3
1.715,986.0E-3,823.2E-3
1.966,998.6E-3,811.6E-3
2.216,1.011,800.0E-3
2.463,1.023,788.6E-3
2.708,1.035,777.4E-3
2.952,1.048,766.2E-3
3.194,1.059,755.1E-3
3.434,1.071,744.1E-3
3.674,1.083,733.3E-3
3.913,1.095,722.4E-3
4.150,1.106,711.7E-3
4.388,1.118,701.0E-3
4.624,1.129,690.4E-3
4.861,1.141,679.9E-3
5.096,1.152,669.5E-3
5.332,1.163,659.1E-3
5.567,1.174,648.8E-3
5.801,1.185,638.5E-3
6.036,1.196,628.3E-3
6.270,1.207,618.2E-3
6.503,1.218,608.2E-3
6.737,1.229,598.2E-3
6.970,1.239,588.3E-3
7.204,1.250,578.5E-3
7.437,1.260,568.8E-3
7.669,1.271,559.1E-3
7.902,1.281,549.5E-3
8.135,1.291,540.0E-3
8.367,1.301,530.6E-3
8.599,1.312,521.3E-3
8.831,1.321,512.1E-3
9.063,1.331,502.9E-3
9.295,1.341,493.8E-3
9.527,1.351,484.9E-3
9.759,1.360,476.0E-3
9.990,1.370,467.2E-3
10.22,1.379,458.5E-3
10.45,1.388,449.9E-3
10.68,1.398,441.4E-3
10.92,1.407,433.0E-3
11.15,1.416,424.7E-3
11.38,1.424,416.5E-3
11.61,1.433,408.4E-3
11.84,1.442,400.4E-3
12.07,1.450,392.5E-3
12.30,1.459,384.8E-3
12.53,1.467,377.1E-3
12.76,1.475,369.6E-3
12.99,1.483,362.1E-3
13.22,1.491,354.8E-3
13.45,1.499,347.6E-3
13.68,1.506,340.5E-3
13.91,1.514,333.6E-3
14.15,1.521,326.7E-3
14.38,1.528,320.0E-3
14.61,1.535,313.4E-3
14.84,1.542,307.0E-3
15.07,1.549,300.6E-3
15.30,1.556,294.4E-3
15.53,1.562,288.3E-3
15.76,1.569,282.3E-3
15.99,1.575,276.5E-3
16.22,1.581,270.8E-3
16.45,1.587,265.2E-3
16.68,1.593,259.8E-3
16.91,1.599,254.5E-3
17.14,1.604,249.3E-3
17.37,1.610,244.3E-3
17.59,1.615,239.4E-3
17.82,1.620,234.7E-3
18.05,1.625,230.0E-3
18.28,1.630,225.6E-3
18.51,1.634,221.2E-3
18.74,1.639,217.1E-3
18.97,1.643,213.0E-3
19.20,1.647,209.1E-3
19.43,1.652,205.4E-3
19.66,1.655,201.7E-3
19.89,1.659,198.3E-3
20.12,1.663,195.0E-3
20.35,1.666,191.8E-3
20.58,1.669,188.8E-3
20.81,1.672,185.9E-3
21.04,1.675,183.2E-3
21.27,1.678,180.6E-3
21.50,1.681,178.1E-3
21.72,1.683,175.9E-3
21.95,1.685,173.7E-3
22.18,1.687,171.8E-3
22.41,1.689,169.9E-3
22.64,1.691,168.3E-3
22.87,1.693,166.7E-3
