time,v_out,v_in
0.000,898.7E-3,900.0E-3
22.70E-3,898.2E-3,901.1E-3
46.32E-3,897.4E-3,902.3E-3
84.62E-3,895.9E-3,904.3E-3
113.0E-3,894.6E-3,905.7E-3
156.2E-3,892.5E-3,907.9E-3
202.5E-3,890.3E-3,910.2E-3
260.8E-3,887.4E-3,913.1E-3
346.7E-3,883.2E-3,917.4E-3
508.2E-3,875.3E-3,925.5E-3
727.5E-3,864.6E-3,936.6E-3
968.1E-3,852.8E-3,948.6E-3
1.219,840.6E-3,961.2E-3
1.474,828.2E-3,974.0E-3
1.728,815.8E-3,986.7E-3
1.980,803.6E-3,999.3E-3
2.230,791.5E-3,1.012
2.477,779.5E-3,1.024
2.722,767.7E-3,1.036
2.966,756.0E-3,1.048
3.207,744.4E-3,1.060
3.448,732.9E-3,1.072
3.688,721.5E-3,1.084
3.926,710.1E-3,1.095
4.164,698.9E-3,1.107
4.401,687.7E-3,1.118
4.638,676.6E-3,1.130
4.874,665.5E-3,1.141
5.110,654.6E-3,1.152
5.345,643.7E-3,1.164
5.580,632.9E-3,1.175
5.815,622.1E-3,1.186
6.049,611.4E-3,1.197
6.283,600.8E-3,1.208
6.517,590.3E-3,1.218
6.750,579.9E-3,1.229
6.984,569.5E-3,1.240
7.217,559.2E-3,1.250
7.450,549.0E-3,1.261
7.683,538.9E-3,1.271
7.915,528.8E-3,1.282
8.148,518.9E-3,1.292
8.380,509.0E-3,1.302
8.613,499.2E-3,1.312
8.845,489.5E-3,1.322
9.077,479.9E-3,1.332
9.308,470.4E-3,1.342
9.540,461.0E-3,1.351
9.772,451.7E-3,1.361
10.00,442.5E-3,1.370
10.23,433.4E-3,1.380
10.47,424.4E-3,1.389
10.70,415.4E-3,1.398
10.93,406.6E-3,1.407
11.16,397.9E-3,1.416
11.39,389.4E-3,1.425
11.62,380.9E-3,1.434
11.85,372.5E-3,1.442
12.08,364.3E-3,1.451
12.31,356.1E-3,1.459
12.55,348.1E-3,1.467
12.78,340.2E-3,1.475
13.01,332.4E-3,1.483
13.24,324.7E-3,1.491
13.47,317.2E-3,1.499
13.70,309.8E-3,1.507
13.93,302.5E-3,1.514
14.16,295.3E-3,1.521
14.39,288.3E-3,1.529
14.62,281.4E-3,1.536
14.85,274.6E-3,1.543
15.08,267.9E-3,1.550
15.31,261.4E-3,1.556
15.54,255.0E-3,1.563
15.77,248.8E-3,1.569
16.00,242.7E-3,1.575
16.23,236.7E-3,1.582
16.46,230.9E-3,1.588
16.69,225.2E-3,1.593
16.92,219.6E-3,1.599
17.15,214.2E-3,1.605
17.38,209.0E-3,1.610
17.61,203.8E-3,1.615
17.84,198.9E-3,1.620
18.07,194.0E-3,1.625
18.30,189.4E-3,1.630
18.53,184.8E-3,1.635
18.76,180.4E-3,1.639
18.99,176.2E-3,1.644
19.22,172.1E-3,1.648
19.44,168.2E-3,1.652
19.67,164.4E-3,1.656
19.90,160.8E-3,1.659
20.13,157.3E-3,1.663
20.36,154.0E-3,1.666
20.59,150.8E-3,1.670
20.82,147.8E-3,1.673
21.05,145.0E-3,1.675
21.28,142.3E-3,1.678
21.51,139.8E-3,1.681
21.74,137.4E-3,1.683
21.97,135.2E-3,1.686
22.20,133.1E-3,1.688
22.42,131.2E-3,1.690
22.65,129.4E-3,1.691
22.88,127.9E-3,1.693
23.11,126.4E-3,1.694
23.34,125.2E-3,1.696
23.57,124.1E-3,1.697
23.80,123.1E-3,1.698
24.03,122.3E-3,1.699
24.26,121.7E-3,1.699
24.49,121.3E-3,1.700
24.71,121.0E-3,1.700
24.94,120.8E-3,1.700
25.17,120.8E-3,1.700
25.40,121.0E-3,1.700
25.63,121.4E-3,1.699
25.86,121.9E-3,1.699
26.09,122.5E-3,1.698
26.32,123.3E-3,1.697
26.54,124.3E-3,1.696
26.77,125.5E-3,1.695
27.00,126.8E-3,1.694
27.23,128.2E-3,1.692
27.46,129.9E-3,1.690
27.69,131.7E-3,1.689
27.92,133.6E-3,1.687
28.15,135.7E-3,1.684
28.38,138.0E-3,1.682
28.61,140.4E-3,1.679
28.84,143.0E-3,1.677
29.08,145.8E-3,1.674
29.31,148.7E-3,1.671
29.54,151.8E-3,1.668
29.77,155.1E-3,1.664
30.01,158.5E-3,1.661
30.24,162.1E-3,1.657
30.47,165.9E-3,1.653
30.71,169.8E-3,1.649
30.94,173.9E-3,1.645
31.18,178.2E-3,1.640
31.42,182.6E-3,1.636
31.65,187.2E-3,1.631
31.89,192.0E-3,1.626
32.13,197.0E-3,1.621
32.37,202.1E-3,1.616
32.61,207.4E-3,1.610
32.85,212.9E-3,1.605
33.09,218.5E-3,1.599
33.34,224.4E-3,1.593
33.58,230.4E-3,1.587
33.83,236.6E-3,1.580
34.07,243.0E-3,1.574
34.32,249.6E-3,1.567
34.57,256.4E-3,1.560
34.82,263.3E-3,1.553
