time,v_out,v_in
0.000,900.0E-3,900.0E-3
22.71E-3,899.5E-3,901.1E-3
46.32E-3,898.7E-3,902.3E-3
84.74E-3,897.2E-3,904.3E-3
113.2E-3,895.9E-3,905.7E-3
156.3E-3,893.8E-3,907.9E-3
202.7E-3,891.5E-3,910.2E-3
261.2E-3,888.7E-3,913.1E-3
347.9E-3,884.4E-3,917.5E-3
512.1E-3,876.4E-3,925.7E-3
732.8E-3,865.7E-3,936.8E-3
973.9E-3,853.9E-3,948.9E-3
1.225,841.7E-3,961.5E-3
1.480,829.3E-3,974.3E-3
1.735,816.9E-3,987.0E-3
1.987,804.7E-3,999.6E-3
2.236,792.6E-3,1.012
2.483,780.7E-3,1.024
2.728,768.9E-3,1.036
2.972,757.2E-3,1.049
3.213,745.6E-3,1.060
3.454,734.1E-3,1.072
3.694,722.7E-3,1.084
3.932,711.4E-3,1.096
4.170,700.2E-3,1.107
4.407,689.0E-3,1.119
4.644,677.9E-3,1.130
4.880,666.9E-3,1.141
5.116,655.9E-3,1.153
5.351,645.1E-3,1.164
5.586,634.3E-3,1.175
5.821,623.5E-3,1.186
6.055,612.9E-3,1.197
6.289,602.3E-3,1.208
6.523,591.8E-3,1.219
6.756,581.4E-3,1.230
6.990,571.0E-3,1.240
7.223,560.7E-3,1.251
7.456,550.6E-3,1.261
7.689,540.4E-3,1.272
7.921,530.4E-3,1.282
8.154,520.5E-3,1.292
8.386,510.6E-3,1.302
8.618,500.9E-3,1.312
8.850,491.2E-3,1.322
9.082,481.6E-3,1.332
9.314,472.1E-3,1.342
9.546,462.7E-3,1.352
9.778,453.4E-3,1.361
10.01,444.2E-3,1.371
10.24,435.1E-3,1.380
10.47,426.1E-3,1.389
10.70,417.2E-3,1.398
10.93,408.5E-3,1.407
11.17,399.8E-3,1.416
11.40,391.2E-3,1.425
11.63,382.7E-3,1.434
11.86,374.4E-3,1.442
12.09,366.1E-3,1.451
12.32,358.0E-3,1.459
12.55,350.0E-3,1.467
12.78,342.1E-3,1.476
13.01,334.3E-3,1.484
13.24,326.7E-3,1.491
13.47,319.2E-3,1.499
13.70,311.8E-3,1.507
13.93,304.5E-3,1.514
14.16,297.3E-3,1.522
14.39,290.3E-3,1.529
14.62,283.4E-3,1.536
14.85,276.6E-3,1.543
15.09,270.0E-3,1.550
15.32,263.5E-3,1.556
15.55,257.1E-3,1.563
15.78,250.9E-3,1.569
16.01,244.8E-3,1.576
16.24,238.8E-3,1.582
16.46,233.0E-3,1.588
16.69,227.4E-3,1.594
16.92,221.8E-3,1.599
17.15,216.4E-3,1.605
17.38,211.2E-3,1.610
17.61,206.1E-3,1.615
17.84,201.1E-3,1.620
18.07,196.3E-3,1.625
18.30,191.6E-3,1.630
18.53,187.1E-3,1.635
18.76,182.7E-3,1.639
18.99,178.5E-3,1.644
19.22,174.4E-3,1.648
19.45,170.5E-3,1.652
19.68,166.7E-3,1.656
19.91,163.1E-3,1.659
20.14,159.7E-3,1.663
20.37,156.3E-3,1.666
20.60,153.2E-3,1.670
20.83,150.2E-3,1.673
21.06,147.4E-3,1.676
21.28,144.7E-3,1.678
21.51,142.1E-3,1.681
21.74,139.8E-3,1.683
21.97,137.6E-3,1.686
22.20,135.5E-3,1.688
22.43,133.6E-3,1.690
22.66,131.9E-3,1.691
22.89,130.3E-3,1.693
23.12,128.9E-3,1.694
23.35,127.6E-3,1.696
23.58,126.5E-3,1.697
23.80,125.6E-3,1.698
24.03,124.8E-3,1.699
24.26,124.2E-3,1.699
24.49,123.7E-3,1.700
24.72,123.4E-3,1.700
24.95,123.3E-3,1.700
25.18,123.3E-3,1.700
25.41,123.5E-3,1.700
25.64,123.8E-3,1.699
25.86,124.3E-3,1.699
26.09,125.0E-3,1.698
26.32,125.8E-3,1.697
26.55,126.8E-3,1.696
26.78,128.0E-3,1.695
27.01,129.3E-3,1.694
27.24,130.7E-3,1.692
27.47,132.4E-3,1.690
27.70,134.2E-3,1.689
27.93,136.1E-3,1.687
28.16,138.2E-3,1.684
28.39,140.5E-3,1.682
28.62,143.0E-3,1.679
28.85,145.6E-3,1.677
29.08,148.3E-3,1.674
29.31,151.2E-3,1.671
29.55,154.3E-3,1.668
29.78,157.6E-3,1.664
30.01,161.0E-3,1.661
30.25,164.6E-3,1.657
30.48,168.4E-3,1.653
30.71,172.3E-3,1.649
30.95,176.4E-3,1.645
31.19,180.7E-3,1.640
31.42,185.1E-3,1.636
31.66,189.7E-3,1.631
31.90,194.5E-3,1.626
32.14,199.4E-3,1.621
32.38,204.6E-3,1.616
32.62,209.9E-3,1.610
32.86,215.4E-3,1.604
33.10,221.0E-3,1.599
33.34,226.9E-3,1.593
33.59,232.9E-3,1.586
33.83,239.1E-3,1.580
34.08,245.5E-3,1.573
34.33,252.1E-3,1.567
34.57,258.8E-3,1.560
34.82,265.8E-3,1.552
35.07,272.9E-3,1.545
35.33,280.3E-3,1.537
35.58,287.8E-3,1.530
35.84,295.6E-3,1.522
36.09,303.5E-3,1.513
36.35,311.7E-3,1.505
36.61,320.0E-3,1.496
36.87,328.6E-3,1.488
37.14,337.4E-3,1.478
37.40,346.4E-3,1.469
37.67,355.6E-3,1.460
37.94,365.1E-3,1.450
38.21,374.8E-3,1.440
38.48,384.7E-3,1.430
38.76,394.9E-3,1.419
39.04,405.3E-3,1.408
39.32,416.0E-3,1.397
39.61,427.0E-3,1.386
39.90,438.2E-3,1.374
40.19,449.7E-3,1.363
40.48,461.5E-3,1.350
40.78,473.6E-3,1.338
41.08,486.0E-3,1.325
41.39,498.7E-3,1.312
41.70,511.7E-3,1.299
42.01,525.1E-3,1.285
42.33,538.9E-3,1.271
42.66,553.0E-3,1.256
42.99,567.6E-3,1.241
43.33,582.6E-3,1.226
43.67,598.0E-3,1.210
44.03,614.0E-3,1.193
44.39,630.5E-3,1.176
44.76,647.5E-3,1.159
45.14,665.2E-3,1.140
45.53,683.6E-3,1.122
45.94,702.7E-3,1.102
46.37,722.8E-3,1.081
46.81,743.9E-3,1.059
47.27,766.1E-3,1.036
47.77,789.9E-3,1.012
48.29,815.5E-3,985.6E-3
48.87,843.6E-3,956.7E-3
49.52,875.2E-3,924.0E-3
