time,v_in,v_out
0.000,900.0E-3,847.2E-3
156.2E-3,900.8E-3,847.3E-3
306.4E-3,901.5E-3,847.5E-3
522.7E-3,902.6E-3,847.9E-3
773.7E-3,903.9E-3,848.5E-3
1.276,906.4E-3,849.8E-3
1.734,908.7E-3,851.1E-3
2.245,911.3E-3,852.5E-3
2.884,914.5E-3,854.4E-3
3.741,918.8E-3,856.8E-3
5.057,925.4E-3,860.3E-3
6.276,931.5E-3,863.5E-3
7.475,937.6E-3,866.4E-3
8.731,943.9E-3,869.2E-3
10.00,950.2E-3,872.0E-3
11.29,956.7E-3,874.6E-3
12.61,963.3E-3,877.1E-3
13.97,970.1E-3,879.5E-3
15.39,977.2E-3,881.9E-3
16.87,984.6E-3,884.2E-3
18.44,992.5E-3,886.6E-3
20.11,1.001,888.9E-3
21.91,1.010,891.3E-3
23.87,1.020,893.8E-3
26.00,1.030,896.4E-3
28.36,1.042,899.1E-3
30.98,1.055,902.0E-3
33.90,1.069,905.1E-3
37.18,1.085,908.5E-3
40.87,1.103,912.2E-3
45.01,1.123,916.2E-3
49.65,1.146,920.6E-3
54.78,1.170,925.3E-3
60.41,1.196,930.3E-3
66.48,1.225,935.6E-3
72.94,1.254,941.0E-3
79.69,1.284,946.5E-3
86.67,1.314,952.1E-3
93.78,1.345,957.5E-3
101.0,1.374,962.8E-3
108.2,1.403,968.0E-3
115.4,1.430,972.9E-3
122.5,1.457,977.6E-3
129.6,1.482,982.0E-3
136.6,1.505,986.2E-3
143.6,1.528,990.1E-3
150.5,1.549,993.8E-3
157.3,1.568,997.2E-3
164.0,1.586,1.000
170.7,1.603,1.003
177.3,1.618,1.006
183.9,1.632,1.008
190.4,1.645,1.011
196.8,1.656,1.013
203.3,1.666,1.014
209.6,1.674,1.016
216.0,1.682,1.017
222.3,1.688,1.018
228.6,1.693,1.019
234.8,1.696,1.020
241.1,1.699,1.020
247.3,1.700,1.021
253.5,1.700,1.021
259.7,1.699,1.020
265.9,1.696,1.020
272.1,1.692,1.019
278.4,1.687,1.019
284.6,1.681,1.018
290.8,1.674,1.016
297.1,1.665,1.015
303.3,1.655,1.013
309.6,1.644,1.011
316.0,1.632,1.009
322.3,1.619,1.007
328.7,1.604,1.004
335.2,1.588,1.002
341.7,1.571,998.7E-3
348.3,1.552,995.5E-3
354.9,1.533,992.0E-3
361.6,1.511,988.4E-3
368.3,1.489,984.5E-3
375.1,1.465,980.3E-3
382.1,1.440,975.9E-3
389.1,1.414,971.3E-3
396.1,1.386,966.4E-3
403.3,1.357,961.2E-3
410.6,1.326,955.7E-3
417.9,1.295,950.0E-3
425.3,1.262,944.1E-3
432.8,1.228,937.9E-3
440.2,1.193,931.5E-3
447.6,1.159,924.9E-3
454.8,1.124,918.2E-3
461.7,1.091,911.6E-3
468.0,1.060,905.1E-3
473.5,1.033,899.1E-3
478.1,1.010,893.6E-3
481.9,990.9E-3,888.6E-3
484.9,975.8E-3,884.1E-3
487.3,963.6E-3,880.0E-3
489.4,953.3E-3,876.2E-3
491.2,944.4E-3,872.5E-3
492.7,936.5E-3,868.9E-3
494.2,929.2E-3,865.4E-3
495.6,922.2E-3,861.7E-3
496.9,915.5E-3,858.0E-3
498.3,908.8E-3,854.1E-3
499.6,902.1E-3,849.9E-3
501.0,895.2E-3,845.5E-3
502.4,888.2E-3,840.8E-3
503.8,880.8E-3,835.7E-3
505.3,873.2E-3,830.2E-3
506.9,865.1E-3,824.3E-3
508.6,856.6E-3,817.8E-3
510.5,847.4E-3,810.7E-3
512.4,837.7E-3,803.0E-3
514.5,827.2E-3,794.5E-3
516.8,815.8E-3,785.2E-3
519.3,803.4E-3,774.9E-3
522.0,789.9E-3,763.4E-3
525.0,775.0E-3,750.6E-3
528.3,758.4E-3,736.2E-3
532.1,739.6E-3,719.7E-3
536.5,718.0E-3,700.5E-3
541.9,691.7E-3,677.0E-3
549.1,657.2E-3,645.6E-3
556.9,620.0E-3,611.7E-3
564.6,584.2E-3,578.6E-3
571.0,554.8E-3,551.4E-3
576.6,529.8E-3,528.1E-3
581.6,507.4E-3,507.3E-3
586.3,487.2E-3,488.3E-3
590.7,468.3E-3,470.6E-3
595.0,450.3E-3,453.6E-3
599.1,433.3E-3,437.6E-3
603.1,417.4E-3,422.5E-3
606.9,402.3E-3,408.2E-3
610.6,387.9E-3,394.5E-3
614.2,374.1E-3,381.4E-3
617.7,361.0E-3,368.9E-3
621.1,348.4E-3,356.9E-3
624.5,336.2E-3,345.3E-3
627.8,324.5E-3,334.1E-3
631.0,313.3E-3,323.3E-3
634.3,302.4E-3,312.9E-3
637.4,291.9E-3,302.9E-3
640.6,281.8E-3,293.2E-3
643.7,272.0E-3,283.8E-3
646.7,262.6E-3,274.8E-3
649.8,253.5E-3,266.0E-3
652.8,244.7E-3,257.6E-3
655.7,236.3E-3,249.4E-3
658.7,228.1E-3,241.6E-3
661.6,220.2E-3,234.0E-3
664.5,212.6E-3,226.7E-3
667.4,205.3E-3,219.6E-3
670.3,198.3E-3,212.9E-3
673.1,191.5E-3,206.3E-3
676.0,185.0E-3,200.1E-3
678.8,178.7E-3,194.1E-3
681.6,172.8E-3,188.3E-3
684.4,167.0E-3,182.8E-3
687.2,161.6E-3,177.5E-3
689.9,156.3E-3,172.4E-3
692.7,151.4E-3,167.6E-3
695.4,146.6E-3,163.0E-3
698.1,142.1E-3,158.7E-3
700.9,137.8E-3,154.6E-3
703.6,133.8E-3,150.7E-3
706.3,130.0E-3,147.0E-3
708.9,126.5E-3,143.6E-3
711.6,123.1E-3,140.3E-3
714.3,120.0E-3,137.3E-3
717.0,117.2E-3,134.6E-3
719.6,114.5E-3,132.0E-3
722.3,112.1E-3,129.6E-3
725.0,109.9E-3,127.5E-3
727.6,107.9E-3,125.6E-3
730.2,106.2E-3,123.9E-3
732.9,104.6E-3,122.4E-3
735.5,103.3E-3,121.1E-3
738.2,102.2E-3,120.1E-3
740.8,101.3E-3,119.2E-3
743.4,100.7E-3,118.6E-3
746.0,100.2E-3,118.2E-3
748.7,100.0E-3,117.9E-3
751.3,100.0E-3,117.9E-3
753.9,100.2E-3,118.1E-3
756.5,100.7E-3,118.6E-3
759.2,101.3E-3,119.2E-3
761.8,102.2E-3,120.0E-3
764.4,103.3E-3,121.1E-3
767.0,104.6E-3,122.3E-3
769.7,106.1E-3,123.8E-3
772.3,107.8E-3,125.5E-3
774.9,109.8E-3,127.3E-3
777.5,112.0E-3,129.4E-3
780.2,114.3E-3,131.8E-3
782.8,117.0E-3,134.3E-3
785.5,119.8E-3,137.0E-3
788.1,122.8E-3,140.0E-3
790.8,126.1E-3,143.1E-3
793.4,129.6E-3,146.5E-3
796.1,133.3E-3,150.1E-3
798.8,137.3E-3,153.9E-3
801.5,141.5E-3,157.9E-3
804.1,145.9E-3,162.2E-3
806.8,150.5E-3,166.6E-3
809.5,155.3E-3,171.3E-3
812.3,160.4E-3,176.2E-3
815.0,165.7E-3,181.3E-3
817.7,171.3E-3,186.7E-3
820.4,177.1E-3,192.3E-3
823.2,183.1E-3,198.1E-3
826.0,189.4E-3,204.1E-3
828.7,195.9E-3,210.4E-3
831.5,202.7E-3,216.9E-3
834.3,209.7E-3,223.7E-3
837.2,217.0E-3,230.7E-3
840.0,224.5E-3,237.9E-3
842.9,232.3E-3,245.4E-3
845.7,240.4E-3,253.2E-3
848.6,248.7E-3,261.2E-3
851.5,257.3E-3,269.4E-3
854.5,266.2E-3,277.9E-3
857.4,275.4E-3,286.7E-3
860.4,284.8E-3,295.8E-3
863.4,294.6E-3,305.1E-3
866.4,304.7E-3,314.8E-3
869.5,315.0E-3,324.7E-3
872.6,325.8E-3,334.9E-3
875.7,336.8E-3,345.4E-3
878.9,348.2E-3,356.3E-3
882.1,359.9E-3,367.5E-3
885.3,372.1E-3,379.0E-3
888.6,384.6E-3,390.9E-3
891.9,397.5E-3,403.2E-3
895.3,410.9E-3,415.9E-3
898.8,424.8E-3,429.0E-3
902.3,439.1E-3,442.6E-3
905.9,454.1E-3,456.6E-3
909.6,469.6E-3,471.2E-3
913.4,485.8E-3,486.4E-3
917.3,502.8E-3,502.3E-3
921.4,520.6E-3,518.9E-3
925.5,538.8E-3,535.8E-3
929.6,557.7E-3,553.3E-3
934.0,577.5E-3,571.7E-3
938.5,598.5E-3,591.0E-3
943.3,621.0E-3,611.7E-3
948.5,645.5E-3,634.1E-3
954.2,673.0E-3,659.0E-3
961.0,705.8E-3,688.5E-3
969.3,746.6E-3,724.5E-3
977.0,785.0E-3,757.6E-3
982.8,813.9E-3,781.8E-3
987.2,835.7E-3,799.4E-3
990.7,853.1E-3,812.9E-3
993.5,867.3E-3,823.5E-3
995.9,879.3E-3,832.0E-3
998.0,889.8E-3,839.1E-3
999.0,894.9E-3,842.5E-3
1.000E3,900.0E-3,845.7E-3
