time,v_out1,v_out2,v_in,a, b, g, c
0.000,900.0E-3,0.000,900.0E-3,0.000,900.0E-3,0.000,900.0E-3
30.43E-3,899.7E-3,25.66E-3,899.6E-3,40.54E-3,899.8E-3,25.66E-3,901.3E-3
67.23E-3,899.0E-3,55.07E-3,898.9E-3,89.34E-3,899.2E-3,55.07E-3,902.8E-3
115.1E-3,897.9E-3,95.51E-3,897.6E-3,155.5E-3,898.1E-3,95.51E-3,904.8E-3
156.7E-3,896.7E-3,128.8E-3,896.3E-3,215.9E-3,896.9E-3,128.8E-3,906.5E-3
240.1E-3,893.7E-3,195.3E-3,893.5E-3,336.7E-3,893.6E-3,195.3E-3,909.8E-3
313.3E-3,890.7E-3,251.0E-3,890.9E-3,449.6E-3,889.9E-3,251.0E-3,912.6E-3
386.1E-3,887.5E-3,311.2E-3,888.1E-3,554.8E-3,886.1E-3,311.2E-3,915.6E-3
469.2E-3,883.7E-3,385.6E-3,884.5E-3,669.2E-3,881.7E-3,385.6E-3,919.4E-3
567.0E-3,879.3E-3,484.7E-3,879.8E-3,795.5E-3,876.6E-3,484.7E-3,924.4E-3
690.5E-3,873.6E-3,639.1E-3,872.5E-3,940.7E-3,870.5E-3,639.1E-3,932.1E-3
855.4E-3,866.0E-3,851.8E-3,862.4E-3,1.113,863.3E-3,851.8E-3,942.8E-3
1.071,856.0E-3,1.087,851.2E-3,1.320,854.4E-3,1.087,954.6E-3
1.305,845.2E-3,1.332,839.6E-3,1.551,844.6E-3,1.332,966.9E-3
1.547,834.0E-3,1.582,827.7E-3,1.789,834.3E-3,1.582,979.4E-3
1.793,822.7E-3,1.833,815.8E-3,2.031,823.9E-3,1.833,991.9E-3
2.041,811.3E-3,2.082,804.1E-3,2.275,813.5E-3,2.082,1.004
2.287,800.0E-3,2.330,792.4E-3,2.519,803.1E-3,2.330,1.017
2.533,788.8E-3,2.576,780.8E-3,2.763,792.7E-3,2.576,1.029
2.777,777.6E-3,2.820,769.4E-3,3.005,782.4E-3,2.820,1.041
3.019,766.6E-3,3.062,758.0E-3,3.246,772.2E-3,3.062,1.053
3.260,755.6E-3,3.303,746.7E-3,3.486,762.1E-3,3.303,1.065
3.501,744.7E-3,3.544,735.6E-3,3.725,752.0E-3,3.544,1.077
3.740,733.9E-3,3.783,724.5E-3,3.964,742.0E-3,3.783,1.088
3.978,723.2E-3,4.021,713.5E-3,4.201,732.0E-3,4.021,1.100
4.216,712.5E-3,4.259,702.5E-3,4.438,722.1E-3,4.259,1.112
4.453,701.9E-3,4.496,691.7E-3,4.675,712.3E-3,4.496,1.123
4.690,691.4E-3,4.732,680.9E-3,4.911,702.6E-3,4.732,1.134
4.926,681.0E-3,4.968,670.2E-3,5.147,692.9E-3,4.968,1.146
5.161,670.6E-3,5.204,659.5E-3,5.382,683.2E-3,5.204,1.157
5.397,660.3E-3,5.439,648.9E-3,5.617,673.6E-3,5.439,1.168
5.631,650.0E-3,5.674,638.4E-3,5.851,664.1E-3,5.674,1.179
5.866,639.8E-3,5.908,628.0E-3,6.086,654.7E-3,5.908,1.190
6.100,629.7E-3,6.142,617.6E-3,6.320,645.3E-3,6.142,1.201
6.334,619.7E-3,6.376,607.3E-3,6.553,636.0E-3,6.376,1.212
6.568,609.7E-3,6.610,597.1E-3,6.787,626.7E-3,6.610,1.223
6.801,599.8E-3,6.843,586.9E-3,7.020,617.5E-3,6.843,1.233
7.035,590.0E-3,7.077,576.8E-3,7.253,608.4E-3,7.077,1.244
7.268,580.2E-3,7.310,566.9E-3,7.486,599.4E-3,7.310,1.255
7.501,570.5E-3,7.543,556.9E-3,7.719,590.4E-3,7.543,1.265
7.734,561.0E-3,7.775,547.1E-3,7.952,581.5E-3,7.775,1.275
7.966,551.4E-3,8.008,537.3E-3,8.184,572.6E-3,8.008,1.286
8.199,542.0E-3,8.240,527.7E-3,8.417,563.9E-3,8.240,1.296
8.431,532.6E-3,8.473,518.1E-3,8.649,555.2E-3,8.473,1.306
8.663,523.4E-3,8.705,508.6E-3,8.881,546.6E-3,8.705,1.316
8.895,514.2E-3,8.937,499.2E-3,9.113,538.1E-3,8.937,1.326
9.127,505.1E-3,9.169,489.9E-3,9.345,529.6E-3,9.169,1.336
9.359,496.1E-3,9.401,480.6E-3,9.576,521.3E-3,9.401,1.346
9.591,487.1E-3,9.632,471.5E-3,9.808,513.0E-3,9.632,1.355
9.822,478.3E-3,9.864,462.4E-3,10.04,504.8E-3,9.864,1.365
10.05,469.6E-3,10.10,453.5E-3,10.27,496.7E-3,10.10,1.374
10.29,460.9E-3,10.33,444.7E-3,10.50,488.7E-3,10.33,1.383
10.52,452.4E-3,10.56,435.9E-3,10.73,480.7E-3,10.56,1.393
10.75,443.9E-3,10.79,427.3E-3,10.96,472.9E-3,10.79,1.402
10.98,435.6E-3,11.02,418.7E-3,11.20,465.1E-3,11.02,1.411
11.21,427.3E-3,11.25,410.3E-3,11.43,457.5E-3,11.25,1.420
11.44,419.2E-3,11.48,401.9E-3,11.66,449.9E-3,11.48,1.428
11.67,411.1E-3,11.71,393.7E-3,11.89,442.5E-3,11.71,1.437
11.90,403.2E-3,11.94,385.6E-3,12.12,435.1E-3,11.94,1.446
12.13,395.4E-3,12.18,377.6E-3,12.35,427.9E-3,12.18,1.454
12.36,387.6E-3,12.41,369.7E-3,12.58,420.7E-3,12.41,1.462
12.60,380.0E-3,12.64,361.9E-3,12.81,413.7E-3,12.64,1.471
12.83,372.5E-3,12.87,354.3E-3,13.04,406.7E-3,12.87,1.479
13.06,365.1E-3,13.10,346.7E-3,13.27,399.9E-3,13.10,1.487
13.29,357.9E-3,13.33,339.3E-3,13.50,393.1E-3,13.33,1.494
13.52,350.7E-3,13.56,332.0E-3,13.73,386.5E-3,13.56,1.502
13.75,343.7E-3,13.79,324.8E-3,13.96,380.0E-3,13.79,1.510
13.98,336.7E-3,14.02,317.7E-3,14.19,373.6E-3,14.02,1.517
14.21,329.9E-3,14.25,310.8E-3,14.42,367.3E-3,14.25,1.524
14.44,323.2E-3,14.48,303.9E-3,14.66,361.1E-3,14.48,1.532
14.67,316.7E-3,14.71,297.2E-3,14.89,355.0E-3,14.71,1.539
14.90,310.2E-3,14.94,290.7E-3,15.12,349.0E-3,14.94,1.545
15.13,303.9E-3,15.17,284.2E-3,15.35,343.2E-3,15.17,1.552
15.36,297.7E-3,15.40,277.9E-3,15.58,337.5E-3,15.40,1.559
15.59,291.7E-3,15.63,271.8E-3,15.81,331.9E-3,15.63,1.565
15.82,285.7E-3,15.86,265.7E-3,16.04,326.4E-3,15.86,1.572
16.05,279.9E-3,16.09,259.8E-3,16.27,321.0E-3,16.09,1.578
16.28,274.3E-3,16.32,254.0E-3,16.50,315.8E-3,16.32,1.584
16.51,268.7E-3,16.55,248.4E-3,16.73,310.6E-3,16.55,1.590
16.74,263.3E-3,16.78,242.9E-3,16.95,305.6E-3,16.78,1.596
16.97,258.0E-3,17.01,237.5E-3,17.18,300.8E-3,17.01,1.601
