time,v_in,v_out
0.000,900.0E-3,900.0E-3
24.88E-3,901.3E-3,899.6E-3
52.85E-3,902.7E-3,898.9E-3
92.34E-3,904.6E-3,897.5E-3
124.2E-3,906.2E-3,896.3E-3
183.1E-3,909.2E-3,893.7E-3
235.8E-3,911.9E-3,891.2E-3
294.3E-3,914.8E-3,888.4E-3
368.4E-3,918.5E-3,884.9E-3
471.3E-3,923.7E-3,879.9E-3
643.9E-3,932.4E-3,871.7E-3
865.1E-3,943.5E-3,861.1E-3
1.104,955.4E-3,849.8E-3
1.352,967.9E-3,837.9E-3
1.603,980.5E-3,826.0E-3
1.855,993.0E-3,814.0E-3
2.104,1.005,802.2E-3
2.352,1.018,790.4E-3
2.598,1.030,778.8E-3
2.842,1.042,767.3E-3
3.084,1.054,755.9E-3
3.326,1.066,744.6E-3
3.566,1.078,733.4E-3
3.805,1.089,722.3E-3
4.043,1.101,711.3E-3
4.281,1.113,700.3E-3
4.517,1.124,689.4E-3
4.754,1.135,678.5E-3
4.990,1.147,667.8E-3
5.225,1.158,657.1E-3
5.460,1.169,646.5E-3
5.695,1.180,635.9E-3
5.930,1.191,625.5E-3
6.164,1.202,615.0E-3
6.398,1.213,604.7E-3
6.631,1.224,594.5E-3
6.865,1.234,584.3E-3
7.098,1.245,574.2E-3
7.331,1.256,564.1E-3
7.564,1.266,554.2E-3
7.797,1.276,544.3E-3
8.029,1.287,534.5E-3
8.262,1.297,524.8E-3
8.494,1.307,515.2E-3
8.726,1.317,505.7E-3
8.958,1.327,496.3E-3
9.190,1.337,486.9E-3
9.422,1.346,477.7E-3
9.654,1.356,468.5E-3
9.885,1.366,459.4E-3
10.12,1.375,450.5E-3
10.35,1.384,441.6E-3
10.58,1.393,432.8E-3
10.81,1.403,424.1E-3
11.04,1.412,415.6E-3
11.27,1.420,407.1E-3
11.50,1.429,398.8E-3
11.74,1.438,390.5E-3
11.97,1.446,382.4E-3
12.20,1.455,374.4E-3
12.43,1.463,366.4E-3
12.66,1.471,358.6E-3
12.89,1.479,351.0E-3
