time (s),/Va (V),/Vout (V)
0.000,0.000,28.18E-3
7.000E-3,0.000,28.18E-3
21.00E-3,0.000,28.18E-3
49.00E-3,0.000,28.18E-3
105.0E-3,0.000,28.18E-3
175.0E-3,0.000,28.18E-3
245.0E-3,0.000,28.18E-3
315.0E-3,0.000,28.18E-3
385.0E-3,0.000,28.18E-3
455.0E-3,0.000,28.18E-3
525.0E-3,0.000,28.18E-3
595.0E-3,0.000,28.18E-3
665.0E-3,0.000,28.18E-3
735.0E-3,0.000,28.18E-3
805.0E-3,0.000,28.18E-3
875.0E-3,0.000,28.18E-3
945.0E-3,0.000,28.18E-3
1.000,0.000,28.18E-3
1.000,1.508E-3,28.18E-3
1.000,2.674E-3,28.18E-3
1.000,5.006E-3,28.18E-3
1.000,9.669E-3,28.18E-3
1.000,18.99E-3,28.18E-3
1.000,37.65E-3,28.18E-3
1.000,74.95E-3,28.21E-3
1.000,149.6E-3,28.29E-3
1.000,244.4E-3,28.46E-3
1.000,344.8E-3,28.68E-3
1.000,453.3E-3,28.96E-3
1.000,572.1E-3,29.30E-3
1.000,705.3E-3,29.69E-3
1.000,858.4E-3,30.15E-3
1.000,1.039,30.70E-3
1.000,1.260,31.36E-3
1.000,1.544,32.18E-3
1.000,1.672,32.55E-3
1.000,1.800,32.91E-3
1.000,1.800,32.91E-3
1.000,1.800,32.92E-3
1.000,1.800,32.94E-3
1.000,1.800,32.97E-3
1.000,1.800,33.03E-3
1.000,1.800,33.13E-3
1.000,1.800,33.30E-3
1.000,1.800,33.44E-3
1.000,1.800,33.53E-3
1.000,1.800,33.60E-3
1.000,1.800,33.64E-3
1.000,1.800,33.67E-3
1.000,1.800,33.69E-3
1.000,1.800,33.70E-3
1.000,1.800,33.71E-3
1.000,1.800,33.71E-3
1.000,1.800,33.71E-3
1.000,1.800,33.71E-3
1.000,1.800,33.71E-3
1.000,1.800,33.72E-3
1.000,1.800,33.72E-3
1.000,1.800,33.74E-3
1.000,1.800,33.77E-3
1.000,1.800,33.84E-3
1.000,1.800,33.98E-3
1.000,1.800,34.24E-3
1.000,1.800,34.78E-3
1.001,1.800,35.85E-3
1.001,1.800,38.00E-3
1.003,1.800,42.27E-3
1.006,1.800,50.77E-3
1.012,1.800,67.61E-3
1.014,1.800,72.91E-3
1.017,1.800,83.46E-3
1.019,1.800,88.83E-3
1.023,1.800,99.49E-3
1.025,1.800,105.2E-3
1.029,1.800,116.6E-3
1.032,1.800,122.8E-3
1.036,1.800,135.0E-3
1.039,1.800,141.5E-3
1.044,1.800,154.5E-3
1.046,1.800,161.4E-3
1.051,1.800,175.1E-3
1.054,1.800,182.4E-3
1.060,1.800,196.8E-3
1.063,1.800,204.5E-3
1.069,1.800,219.6E-3
1.072,1.800,227.6E-3
1.079,1.800,243.4E-3
1.082,1.800,251.7E-3
1.089,1.800,268.1E-3
1.092,1.800,276.7E-3
1.097,1.800,286.7E-3
1.101,1.800,295.8E-3
1.105,1.800,305.2E-3
1.109,1.800,314.6E-3
1.113,1.800,324.1E-3
1.117,1.800,333.7E-3
1.122,1.800,343.4E-3
1.126,1.800,353.2E-3
1.131,1.800,363.1E-3
1.135,1.800,373.1E-3
1.140,1.800,383.2E-3
1.145,1.800,393.4E-3
1.150,1.800,403.7E-3
1.155,1.800,414.1E-3
1.160,1.800,424.5E-3
1.165,1.800,435.0E-3
1.170,1.800,445.6E-3
1.175,1.800,456.3E-3
1.181,1.800,467.1E-3
1.186,1.800,477.9E-3
1.192,1.800,488.8E-3
1.198,1.800,499.8E-3
1.204,1.800,510.9E-3
1.210,1.800,522.0E-3
1.216,1.800,533.1E-3
1.222,1.800,544.3E-3
1.228,1.800,555.6E-3
1.235,1.800,566.9E-3
1.241,1.800,578.3E-3
1.248,1.800,589.7E-3
1.255,1.800,601.2E-3
1.262,1.800,612.7E-3
1.269,1.800,624.3E-3
1.275,1.800,634.7E-3
1.283,1.800,646.4E-3
1.289,1.800,657.0E-3
1.297,1.800,668.8E-3
1.304,1.800,679.4E-3
1.312,1.800,691.2E-3
1.319,1.800,701.9E-3
1.326,1.800,712.1E-3
1.334,1.800,723.8E-3
1.342,1.800,734.4E-3
1.349,1.800,744.5E-3
1.356,1.800,754.8E-3
1.364,1.800,764.9E-3
1.371,1.800,775.0E-3
1.379,1.800,785.1E-3
1.387,1.800,795.2E-3
1.395,1.800,805.3E-3
1.403,1.800,815.4E-3
1.411,1.800,825.4E-3
1.419,1.800,835.4E-3
1.427,1.800,845.5E-3
1.436,1.800,855.5E-3
1.444,1.800,865.5E-3
1.453,1.800,875.5E-3
1.462,1.800,885.4E-3
1.471,1.800,895.3E-3
1.480,1.800,905.2E-3
1.490,1.800,915.1E-3
1.499,1.800,925.0E-3
1.509,1.800,934.8E-3
1.518,1.800,944.6E-3
1.528,1.800,954.3E-3
1.538,1.800,964.1E-3
1.548,1.800,973.7E-3
1.559,1.800,983.4E-3
1.569,1.800,993.0E-3
1.580,1.800,1.003
1.591,1.800,1.012
1.602,1.800,1.021
1.613,1.800,1.031
1.624,1.800,1.040
1.636,1.800,1.050
1.647,1.800,1.059
1.659,1.800,1.068
1.671,1.800,1.077
1.684,1.800,1.086
1.696,1.800,1.095
1.709,1.800,1.104
1.722,1.800,1.113
1.735,1.800,1.122
1.748,1.800,1.130
1.762,1.800,1.139
1.775,1.800,1.148
1.789,1.800,1.156
1.804,1.800,1.165
1.818,1.800,1.173
1.833,1.800,1.181
1.848,1.800,1.189
1.863,1.800,1.197
1.879,1.800,1.205
1.895,1.800,1.213
1.911,1.800,1.221
1.927,1.800,1.229
1.944,1.800,1.236
1.961,1.800,1.244
1.978,1.800,1.251
1.996,1.800,1.259
2.000,1.800,1.261
2.000,1.798,1.261
2.000,1.795,1.261
2.000,1.788,1.261
2.000,1.774,1.261
2.000,1.746,1.261
2.000,1.690,1.260
2.000,1.579,1.260
2.000,1.356,1.260
2.000,1.077,1.259
2.000,989.5E-3,1.259
2.000,957.2E-3,1.258
2.000,928.2E-3,1.258
2.000,892.8E-3,1.258
2.000,867.8E-3,1.257
2.000,847.5E-3,1.257
2.000,829.1E-3,1.256
2.000,811.8E-3,1.255
2.000,794.0E-3,1.254
2.000,773.5E-3,1.251
2.000,746.7E-3,1.247
2.000,722.5E-3,1.243
2.000,703.3E-3,1.238
2.000,685.2E-3,1.233
2.000,667.0E-3,1.227
2.000,647.6E-3,1.220
2.000,626.1E-3,1.211
2.000,601.6E-3,1.201
2.000,573.2E-3,1.187
2.000,539.6E-3,1.168
2.000,501.1E-3,1.145
2.000,462.0E-3,1.120
2.000,422.2E-3,1.092
2.000,381.1E-3,1.062
2.000,338.5E-3,1.029
2.000,294.1E-3,993.6E-3
2.000,247.4E-3,954.7E-3
2.000,198.3E-3,912.6E-3
2.000,146.4E-3,866.9E-3
2.000,91.49E-3,817.4E-3
2.000,45.74E-3,775.5E-3
2.000,22.87E-3,754.3E-3
2.000,0.000,732.9E-3
2.000,0.000,731.3E-3
2.000,0.000,729.2E-3
2.000,0.000,725.8E-3
2.000,0.000,719.4E-3
2.000,0.000,710.3E-3
2.000,0.000,701.8E-3
2.000,0.000,692.8E-3
2.000,0.000,683.1E-3
2.000,0.000,672.5E-3
2.000,0.000,660.8E-3
2.000,0.000,648.1E-3
2.000,0.000,634.3E-3
2.000,0.000,619.3E-3
2.000,0.000,603.3E-3
2.000,0.000,586.4E-3
2.000,0.000,568.5E-3
2.000,0.000,549.8E-3
2.000,0.000,530.5E-3
2.000,0.000,510.8E-3
2.000,0.000,490.9E-3
2.000,0.000,473.0E-3
2.000,0.000,457.0E-3
2.000,0.000,442.5E-3
2.000,0.000,429.3E-3
2.000,0.000,417.3E-3
2.000,0.000,406.3E-3
2.000,0.000,396.3E-3
2.000,0.000,387.1E-3
2.000,0.000,378.7E-3
2.000,0.000,371.1E-3
2.000,0.000,364.1E-3
2.000,0.000,357.6E-3
2.000,0.000,351.7E-3
2.000,0.000,346.3E-3
2.000,0.000,341.3E-3
2.000,0.000,336.6E-3
2.000,0.000,332.3E-3
2.000,0.000,328.2E-3
2.000,0.000,324.2E-3
2.000,0.000,320.5E-3
2.000,0.000,316.8E-3
2.000,0.000,313.2E-3
2.000,0.000,309.5E-3
2.000,0.000,305.8E-3
2.000,0.000,302.1E-3
2.000,0.000,298.2E-3
2.000,0.000,294.2E-3
2.000,0.000,290.2E-3
2.000,0.000,286.1E-3
2.000,0.000,282.0E-3
2.000,0.000,277.9E-3
2.000,0.000,273.8E-3
2.000,0.000,269.7E-3
