time (s),rds
7.000E-3,122.7E12
21.00E-3,225.6E12
49.00E-3,446.3E12
105.0E-3,2.167E15
175.0E-3,-12.02E15
245.0E-3,-13.05E15
315.0E-3,-49.91E15
385.0E-3,-3.176E18
455.0E-3,593.8E15
525.0E-3,1.581E18
595.0E-3,13.17E18
665.0E-3,-33.79E18
735.0E-3,-57.83E18
805.0E-3,-270.6E18
875.0E-3,3.189E21
945.0E-3,2.103E21
1.000,9.098E21
1.000,9.062E-3
1.000,-10.73
1.000,-17.66
1.000,-17.65
1.000,-17.57
1.000,-17.48
1.000,-17.95
1.000,-19.40
1.000,-22.07
1.000,-25.54
1.000,-29.04
1.000,-32.86
1.000,-37.23
1.000,-42.33
1.000,-48.50
1.000,-56.17
1.000,-66.09
1.000,-83.79
1.000,-82.93
1.000,-12.51E-3
1.000,-6.963E3
1.000,42.54E3
1.000,-784.2E3
1.000,-834.4E3
1.000,-943.0E3
1.000,-1.196E6
1.000,-1.698E6
1.000,-2.543E6
1.000,-3.971E6
1.000,-6.544E6
1.000,-11.57E6
1.000,-22.63E6
1.000,-51.75E6
1.000,-155.2E6
1.000,-955.9E6
1.000,2.582E9
1.000,3.266E9
1.000,29.62E9
1.000,-19.27E9
1.000,-19.32E9
1.000,-20.53E9
1.000,-20.60E9
1.000,-20.59E9
1.000,-20.59E9
1.000,-20.60E9
1.000,-20.61E9
1.001,-20.63E9
1.001,-20.68E9
1.003,-20.78E9
1.006,-20.97E9
1.012,-21.35E9
1.014,-21.69E9
1.017,-21.94E9
1.019,-22.19E9
1.023,-22.45E9
1.025,-22.72E9
1.029,-23.00E9
1.032,-23.29E9
1.036,-23.60E9
1.039,-23.92E9
1.044,-24.25E9
1.046,-24.60E9
1.051,-24.97E9
1.054,-25.35E9
1.060,-25.75E9
1.063,-26.17E9
1.069,-26.60E9
1.072,-27.05E9
1.079,-27.52E9
1.082,-28.01E9
1.089,-28.52E9
1.092,-29.05E9
1.097,-29.45E9
1.101,-29.87E9
1.105,-30.28E9
1.109,-30.70E9
1.113,-31.14E9
1.117,-31.58E9
1.122,-32.04E9
1.126,-32.52E9
1.131,-33.00E9
1.135,-33.50E9
1.140,-34.02E9
1.145,-34.55E9
1.150,-35.09E9
1.155,-35.66E9
1.160,-36.23E9
1.165,-36.83E9
1.170,-37.44E9
1.175,-38.07E9
1.181,-38.72E9
1.186,-39.38E9
1.192,-40.07E9
1.198,-40.78E9
1.204,-41.51E9
1.210,-42.26E9
1.216,-43.03E9
1.222,-43.83E9
1.228,-44.65E9
1.235,-45.49E9
1.241,-46.36E9
1.248,-47.26E9
1.255,-48.18E9
1.262,-49.14E9
1.269,-50.12E9
1.275,-51.08E9
1.283,-52.08E9
1.289,-53.11E9
1.297,-54.18E9
1.304,-55.27E9
1.312,-56.40E9
1.319,-57.57E9
1.326,-58.68E9
1.334,-59.88E9
1.342,-61.14E9
1.349,-62.34E9
1.356,-63.56E9
1.364,-64.82E9
1.371,-66.10E9
1.379,-67.41E9
1.387,-68.76E9
1.395,-70.15E9
1.403,-71.58E9
1.411,-73.06E9
1.419,-74.57E9
1.427,-76.13E9
1.436,-77.74E9
1.444,-79.40E9
1.453,-81.11E9
1.462,-82.87E9
1.471,-84.69E9
1.480,-86.56E9
1.490,-88.49E9
1.499,-90.48E9
1.509,-92.54E9
1.518,-94.67E9
1.528,-96.86E9
1.538,-99.12E9
1.548,-101.5E9
1.559,-103.9E9
1.569,-106.4E9
