time,v_out,v_in
0.000,1.736,0.000
7.000E-3,1.736,0.000
21.00E-3,1.736,0.000
49.00E-3,1.736,0.000
105.0E-3,1.736,0.000
175.0E-3,1.736,0.000
245.0E-3,1.736,0.000
315.0E-3,1.736,0.000
385.0E-3,1.736,0.000
455.0E-3,1.736,0.000
525.0E-3,1.736,0.000
595.0E-3,1.736,0.000
665.0E-3,1.736,0.000
735.0E-3,1.736,0.000
805.0E-3,1.736,0.000
875.0E-3,1.736,0.000
945.0E-3,1.736,0.000
1.000,1.736,0.000
1.000,1.736,1.508E-3
1.000,1.736,4.525E-3
1.000,1.736,10.56E-3
1.000,1.736,22.63E-3
1.000,1.736,46.76E-3
1.000,1.736,95.03E-3
1.000,1.736,191.6E-3
1.000,1.736,384.6E-3
1.000,1.736,770.8E-3
1.000,1.736,1.285
1.000,1.736,1.800
1.000,1.736,1.800
1.000,1.736,1.800
1.000,1.736,1.800
1.000,1.736,1.800
1.000,1.736,1.800
1.000,1.736,1.800
1.000,1.736,1.800
1.000,1.736,1.800
1.000,1.736,1.800
1.000,1.736,1.800
1.000,1.736,1.800
1.000,1.735,1.800
1.000,1.735,1.800
1.000,1.735,1.800
1.000,1.734,1.800
1.000,1.733,1.800
1.000,1.730,1.800
1.000,1.724,1.800
1.000,1.713,1.800
1.001,1.692,1.800
1.002,1.649,1.800
1.004,1.566,1.800
1.006,1.471,1.800
1.008,1.382,1.800
1.010,1.298,1.800
1.012,1.219,1.800
1.014,1.144,1.800
1.017,1.072,1.800
1.019,1.004,1.800
1.021,939.7E-3,1.800
1.024,878.0E-3,1.800
1.026,819.3E-3,1.800
1.029,763.6E-3,1.800
1.031,710.7E-3,1.800
1.034,660.7E-3,1.800
1.037,613.4E-3,1.800
1.039,568.7E-3,1.800
1.042,526.6E-3,1.800
1.045,486.9E-3,1.800
1.048,449.7E-3,1.800
1.051,414.8E-3,1.800
1.055,382.1E-3,1.800
1.058,351.6E-3,1.800
1.061,323.2E-3,1.800
1.065,296.8E-3,1.800
1.069,272.3E-3,1.800
1.072,249.7E-3,1.800
1.076,228.8E-3,1.800
1.081,209.7E-3,1.800
1.085,192.1E-3,1.800
1.089,176.1E-3,1.800
1.094,161.6E-3,1.800
1.099,148.5E-3,1.800
1.104,136.7E-3,1.800
1.109,126.1E-3,1.800
1.115,116.7E-3,1.800
1.121,108.4E-3,1.800
1.127,101.2E-3,1.800
1.134,94.81E-3,1.800
1.141,89.35E-3,1.800
1.149,84.69E-3,1.800
1.157,80.76E-3,1.800
1.165,77.50E-3,1.800
1.175,74.83E-3,1.800
1.185,72.69E-3,1.800
1.197,71.01E-3,1.800
1.210,69.73E-3,1.800
1.224,68.79E-3,1.800
1.240,68.12E-3,1.800
1.258,67.68E-3,1.800
1.280,67.41E-3,1.800
1.306,67.27E-3,1.800
1.338,67.21E-3,1.800
1.378,67.19E-3,1.800
1.434,67.20E-3,1.800
1.504,67.20E-3,1.800
1.574,67.21E-3,1.800
1.644,67.21E-3,1.800
1.714,67.21E-3,1.800
1.784,67.21E-3,1.800
1.854,67.21E-3,1.800
1.924,67.21E-3,1.800
1.994,67.21E-3,1.800
2.000,67.21E-3,1.800
2.000,67.21E-3,1.798
2.000,67.21E-3,1.795
2.000,67.21E-3,1.787
2.000,67.21E-3,1.773
2.000,67.21E-3,1.744
2.000,67.21E-3,1.687
2.000,67.21E-3,1.571
2.000,67.21E-3,1.341
2.000,67.21E-3,880.2E-3
2.000,67.22E-3,419.4E-3
2.000,67.22E-3,189.0E-3
2.000,67.22E-3,94.50E-3
2.000,67.23E-3,0.000
2.000,67.23E-3,0.000
2.000,67.23E-3,0.000
2.000,67.23E-3,0.000
2.000,67.23E-3,0.000
2.000,67.23E-3,0.000
2.000,67.23E-3,0.000
2.000,67.23E-3,0.000
2.000,67.24E-3,0.000
2.000,67.25E-3,0.000
2.000,67.28E-3,0.000
2.000,67.33E-3,0.000
2.000,67.43E-3,0.000
2.000,67.64E-3,0.000
2.000,68.06E-3,0.000
2.000,68.89E-3,0.000
2.000,70.56E-3,0.000
2.000,73.89E-3,0.000
2.000,80.52E-3,0.000
2.001,93.72E-3,0.000
2.001,119.8E-3,0.000
2.002,170.7E-3,0.000
2.004,267.8E-3,0.000
2.006,361.3E-3,0.000
2.008,447.9E-3,0.000
2.011,530.4E-3,0.000
2.013,607.9E-3,0.000
2.015,681.4E-3,0.000
2.017,751.5E-3,0.000
2.020,818.3E-3,0.000
2.022,882.0E-3,0.000
2.024,942.7E-3,0.000
2.027,1.000,0.000
2.029,1.055,0.000
2.032,1.107,0.000
2.035,1.156,0.000
2.037,1.203,0.000
2.040,1.247,0.000
2.043,1.288,0.000
2.046,1.327,0.000
2.049,1.363,0.000
2.052,1.398,0.000
2.055,1.430,0.000
2.059,1.460,0.000
2.062,1.487,0.000
2.066,1.513,0.000
2.070,1.537,0.000
2.073,1.559,0.000
2.077,1.580,0.000
2.082,1.598,0.000
2.086,1.615,0.000
2.090,1.631,0.000
2.095,1.645,0.000
2.100,1.658,0.000
2.105,1.669,0.000
2.111,1.679,0.000
2.116,1.689,0.000
2.122,1.697,0.000
2.129,1.704,0.000
2.136,1.710,0.000
2.143,1.715,0.000
2.151,1.719,0.000
2.159,1.723,0.000
2.168,1.726,0.000
2.178,1.729,0.000
2.188,1.731,0.000
2.200,1.732,0.000
2.213,1.733,0.000
2.228,1.734,0.000
2.245,1.735,0.000
2.264,1.735,0.000
2.287,1.735,0.000
2.314,1.736,0.000
2.348,1.736,0.000
2.392,1.736,0.000
2.453,1.736,0.000
