time,v_out,v_in
0.000,1.774,0.000
7.000E-3,1.774,0.000
21.00E-3,1.774,0.000
49.00E-3,1.774,0.000
105.0E-3,1.774,0.000
175.0E-3,1.774,0.000
245.0E-3,1.774,0.000
315.0E-3,1.774,0.000
385.0E-3,1.774,0.000
455.0E-3,1.774,0.000
525.0E-3,1.774,0.000
595.0E-3,1.774,0.000
665.0E-3,1.774,0.000
735.0E-3,1.774,0.000
805.0E-3,1.774,0.000
875.0E-3,1.774,0.000
945.0E-3,1.774,0.000
1.000,1.774,0.000
1.000,1.774,1.508E-3
1.000,1.774,4.525E-3
1.000,1.774,10.56E-3
1.000,1.774,22.63E-3
1.000,1.774,46.76E-3
1.000,1.774,95.03E-3
1.000,1.774,191.6E-3
1.000,1.774,384.6E-3
1.000,1.774,770.8E-3
1.000,1.774,1.285
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.773,1.800
1.000,1.773,1.800
1.000,1.772,1.800
1.000,1.771,1.800
1.000,1.767,1.800
1.000,1.761,1.800
1.000,1.747,1.800
1.001,1.721,1.800
1.002,1.670,1.800
1.004,1.573,1.800
1.005,1.476,1.800
1.007,1.386,1.800
1.009,1.300,1.800
1.011,1.219,1.800
1.013,1.142,1.800
1.015,1.069,1.800
1.017,999.5E-3,1.800
1.019,932.8E-3,1.800
1.021,869.3E-3,1.800
1.023,808.8E-3,1.800
1.025,751.3E-3,1.800
1.028,696.8E-3,1.800
1.030,645.0E-3,1.800
1.032,596.0E-3,1.800
1.035,549.8E-3,1.800
1.037,506.1E-3,1.800
1.040,464.9E-3,1.800
1.042,426.2E-3,1.800
1.045,389.9E-3,1.800
1.048,355.9E-3,1.800
1.051,324.1E-3,1.800
1.054,294.4E-3,1.800
1.057,266.8E-3,1.800
1.060,241.2E-3,1.800
1.063,217.5E-3,1.800
1.067,195.7E-3,1.800
1.070,175.6E-3,1.800
1.074,157.1E-3,1.800
1.078,140.3E-3,1.800
1.082,125.0E-3,1.800
1.086,111.1E-3,1.800
1.091,98.58E-3,1.800
1.095,87.36E-3,1.800
1.100,77.36E-3,1.800
1.105,68.51E-3,1.800
1.111,60.72E-3,1.800
1.117,53.92E-3,1.800
1.123,48.03E-3,1.800
1.129,43.00E-3,1.800
