time,v_out,v_in
0.000,1.774,0.000
7.000E-3,1.774,0.000
21.00E-3,1.774,0.000
49.00E-3,1.774,0.000
105.0E-3,1.774,0.000
175.0E-3,1.774,0.000
245.0E-3,1.774,0.000
315.0E-3,1.774,0.000
385.0E-3,1.774,0.000
455.0E-3,1.774,0.000
525.0E-3,1.774,0.000
595.0E-3,1.774,0.000
665.0E-3,1.774,0.000
735.0E-3,1.774,0.000
805.0E-3,1.774,0.000
875.0E-3,1.774,0.000
945.0E-3,1.774,0.000
1.000,1.774,0.000
1.000,1.774,1.508E-3
1.000,1.774,4.525E-3
1.000,1.774,10.56E-3
1.000,1.774,22.63E-3
1.000,1.774,46.76E-3
1.000,1.774,95.03E-3
1.000,1.774,191.6E-3
1.000,1.774,384.6E-3
1.000,1.774,770.8E-3
1.000,1.774,1.285
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.774,1.800
1.000,1.773,1.800
1.000,1.773,1.800
1.000,1.772,1.800
1.000,1.770,1.800
1.000,1.767,1.800
1.000,1.760,1.800
1.000,1.747,1.800
1.001,1.721,1.800
1.002,1.670,1.800
1.004,1.572,1.800
1.005,1.475,1.800
1.007,1.385,1.800
1.009,1.299,1.800
1.011,1.218,1.800
1.013,1.142,1.800
1.015,1.069,1.800
1.017,999.0E-3,1.800
1.019,932.4E-3,1.800
1.021,869.0E-3,1.800
1.023,808.6E-3,1.800
1.025,751.2E-3,1.800
1.027,696.7E-3,1.800
1.030,645.1E-3,1.800
1.032,596.2E-3,1.800
1.035,550.0E-3,1.800
1.037,506.4E-3,1.800
1.040,465.4E-3,1.800
1.042,426.8E-3,1.800
1.045,390.6E-3,1.800
1.048,356.7E-3,1.800
1.051,325.0E-3,1.800
1.054,295.5E-3,1.800
1.057,268.0E-3,1.800
1.060,242.5E-3,1.800
1.063,218.9E-3,1.800
1.067,197.1E-3,1.800
1.070,177.1E-3,1.800
1.074,158.7E-3,1.800
1.078,142.0E-3,1.800
1.082,126.7E-3,1.800
1.086,112.9E-3,1.800
1.090,100.5E-3,1.800
1.095,89.37E-3,1.800
1.100,79.44E-3,1.800
1.105,70.64E-3,1.800
1.111,62.91E-3,1.800
1.116,56.17E-3,1.800
1.122,50.34E-3,1.800
1.129,45.35E-3,1.800
