time,v_in,v_out
0.000,0.000,21.03E-3
7.000E-3,0.000,21.03E-3
21.00E-3,0.000,21.03E-3
49.00E-3,0.000,21.03E-3
105.0E-3,0.000,21.03E-3
175.0E-3,0.000,21.03E-3
245.0E-3,0.000,21.03E-3
315.0E-3,0.000,21.03E-3
385.0E-3,0.000,21.03E-3
455.0E-3,0.000,21.03E-3
525.0E-3,0.000,21.03E-3
595.0E-3,0.000,21.03E-3
665.0E-3,0.000,21.03E-3
735.0E-3,0.000,21.03E-3
805.0E-3,0.000,21.03E-3
875.0E-3,0.000,21.03E-3
945.0E-3,0.000,21.03E-3
1.000,0.000,21.03E-3
1.000,1.508E-3,21.03E-3
1.000,2.674E-3,21.03E-3
1.000,5.006E-3,21.03E-3
1.000,9.669E-3,21.03E-3
1.000,18.99E-3,21.03E-3
1.000,37.65E-3,21.03E-3
1.000,74.95E-3,21.04E-3
1.000,149.6E-3,21.07E-3
1.000,276.6E-3,21.17E-3
1.000,410.3E-3,21.31E-3
1.000,550.8E-3,21.50E-3
1.000,702.2E-3,21.72E-3
1.000,866.1E-3,21.99E-3
1.000,1.048,22.30E-3
1.000,1.253,22.66E-3
1.000,1.488,23.08E-3
1.000,1.644,23.35E-3
1.000,1.722,23.49E-3
1.000,1.800,23.63E-3
1.000,1.800,23.63E-3
1.000,1.800,23.64E-3
1.000,1.800,23.65E-3
1.000,1.800,23.67E-3
1.000,1.800,23.71E-3
1.000,1.800,23.78E-3
1.000,1.800,23.91E-3
1.000,1.800,24.07E-3
1.000,1.800,24.20E-3
1.000,1.800,24.29E-3
1.000,1.800,24.37E-3
1.000,1.800,24.42E-3
1.000,1.800,24.46E-3
1.000,1.800,24.49E-3
1.000,1.800,24.50E-3
1.000,1.800,24.52E-3
1.000,1.800,24.52E-3
1.000,1.800,24.52E-3
1.000,1.800,24.52E-3
1.000,1.800,24.53E-3
1.000,1.800,24.53E-3
1.000,1.800,24.53E-3
1.000,1.800,24.53E-3
1.000,1.800,24.53E-3
1.000,1.800,24.54E-3
1.000,1.800,24.56E-3
1.000,1.800,24.60E-3
1.000,1.800,24.68E-3
1.000,1.800,24.84E-3
1.001,1.800,25.16E-3
1.001,1.800,25.79E-3
1.003,1.800,27.06E-3
1.005,1.800,29.59E-3
1.010,1.800,34.63E-3
1.013,1.800,37.82E-3
1.020,1.800,44.17E-3
1.024,1.800,47.75E-3
1.028,1.800,51.84E-3
1.032,1.800,55.69E-3
1.036,1.800,59.74E-3
1.040,1.800,63.86E-3
1.045,1.800,68.11E-3
1.049,1.800,72.47E-3
1.054,1.800,76.96E-3
1.059,1.800,81.57E-3
1.064,1.800,86.29E-3
1.069,1.800,91.13E-3
1.074,1.800,96.09E-3
1.080,1.800,101.2E-3
1.086,1.800,106.3E-3
1.091,1.800,111.6E-3
1.097,1.800,117.0E-3
1.103,1.800,122.5E-3
1.110,1.800,128.1E-3
1.116,1.800,133.8E-3
1.123,1.800,139.6E-3
1.129,1.800,145.6E-3
1.136,1.800,151.6E-3
1.143,1.800,157.7E-3
1.150,1.800,163.2E-3
1.157,1.800,169.6E-3
1.164,1.800,175.3E-3
1.172,1.800,181.8E-3
1.179,1.800,187.7E-3
1.185,1.800,193.4E-3
1.194,1.800,200.1E-3
1.201,1.800,206.2E-3
1.208,1.800,212.0E-3
1.216,1.800,218.0E-3
1.223,1.800,224.0E-3
1.231,1.800,230.0E-3
1.238,1.800,236.0E-3
1.246,1.800,242.1E-3
1.254,1.800,248.3E-3
1.262,1.800,254.5E-3
1.270,1.800,260.8E-3
1.278,1.800,267.1E-3
1.287,1.800,273.5E-3
1.295,1.800,279.9E-3
1.304,1.800,286.3E-3
1.313,1.800,292.8E-3
1.322,1.800,299.4E-3
1.331,1.800,306.0E-3
1.340,1.800,312.6E-3
1.350,1.800,319.3E-3
1.359,1.800,326.0E-3
1.369,1.800,332.8E-3
1.379,1.800,339.6E-3
1.389,1.800,346.4E-3
1.399,1.800,353.2E-3
1.409,1.800,360.1E-3
1.420,1.800,367.1E-3
1.431,1.800,374.0E-3
1.441,1.800,381.0E-3
1.452,1.800,388.0E-3
1.463,1.800,395.0E-3
1.475,1.800,402.1E-3
1.486,1.800,409.2E-3
1.498,1.800,416.3E-3
1.509,1.800,423.4E-3
1.521,1.800,430.6E-3
1.533,1.800,437.7E-3
1.546,1.800,444.9E-3
1.558,1.800,452.1E-3
1.571,1.800,459.3E-3
1.583,1.800,466.5E-3
1.596,1.800,473.7E-3
1.610,1.800,481.0E-3
1.623,1.800,488.2E-3
1.636,1.800,495.5E-3
1.650,1.800,502.7E-3
1.664,1.800,510.0E-3
1.678,1.800,517.2E-3
1.693,1.800,524.5E-3
1.707,1.800,531.8E-3
1.722,1.800,539.0E-3
1.737,1.800,546.3E-3
1.752,1.800,553.5E-3
1.767,1.800,560.7E-3
1.783,1.800,568.0E-3
1.799,1.800,575.2E-3
1.815,1.800,582.4E-3
1.831,1.800,589.6E-3
1.847,1.800,596.7E-3
1.864,1.800,603.9E-3
1.881,1.800,611.0E-3
1.898,1.800,618.2E-3
1.915,1.800,625.3E-3
1.933,1.800,632.4E-3
1.951,1.800,639.4E-3
1.969,1.800,646.5E-3
1.988,1.800,653.5E-3
2.000,1.800,658.1E-3
2.000,1.798,658.1E-3
2.000,1.795,658.1E-3
2.000,1.788,658.1E-3
2.000,1.774,658.1E-3
2.000,1.746,658.1E-3
2.000,1.690,658.1E-3
2.000,1.579,658.0E-3
2.000,1.356,657.8E-3
2.000,1.002,657.4E-3
2.000,597.6E-3,656.6E-3
2.000,515.6E-3,656.5E-3
2.000,351.5E-3,656.1E-3
2.000,331.4E-3,656.0E-3
2.000,291.1E-3,655.9E-3
2.000,270.1E-3,655.7E-3
2.000,246.7E-3,655.6E-3
2.000,225.4E-3,655.4E-3
2.000,207.9E-3,655.1E-3
2.000,191.9E-3,654.8E-3
2.000,177.0E-3,654.5E-3
2.000,162.3E-3,654.0E-3
2.000,147.1E-3,653.4E-3
2.000,130.3E-3,652.5E-3
2.000,108.8E-3,651.0E-3
2.000,82.38E-3,648.4E-3
2.000,63.68E-3,646.1E-3
2.000,47.62E-3,643.8E-3
2.000,32.05E-3,641.4E-3
2.000,17.48E-3,639.2E-3
2.000,8.739E-3,637.8E-3
2.000,4.370E-3,637.1E-3
2.000,0.000,636.5E-3
2.000,0.000,636.3E-3
2.000,0.000,636.1E-3
2.000,0.000,635.9E-3
2.000,0.000,635.5E-3
2.000,0.000,634.7E-3
2.000,0.000,633.5E-3
2.000,0.000,632.2E-3
2.000,0.000,630.9E-3
2.000,0.000,629.5E-3
