time,v_out,v_in
0.000,1.752,0.000
7.000E-3,1.752,0.000
21.00E-3,1.752,0.000
49.00E-3,1.752,0.000
105.0E-3,1.752,0.000
175.0E-3,1.752,0.000
245.0E-3,1.752,0.000
315.0E-3,1.752,0.000
385.0E-3,1.752,0.000
455.0E-3,1.752,0.000
525.0E-3,1.752,0.000
595.0E-3,1.752,0.000
665.0E-3,1.752,0.000
735.0E-3,1.752,0.000
805.0E-3,1.752,0.000
875.0E-3,1.752,0.000
945.0E-3,1.752,0.000
1.000,1.752,0.000
1.000,1.752,1.508E-3
1.000,1.752,4.525E-3
1.000,1.752,10.56E-3
1.000,1.752,22.63E-3
1.000,1.752,46.76E-3
1.000,1.752,95.03E-3
1.000,1.752,191.6E-3
1.000,1.752,384.6E-3
1.000,1.752,770.8E-3
1.000,1.752,1.285
1.000,1.752,1.800
1.000,1.752,1.800
1.000,1.752,1.800
1.000,1.752,1.800
1.000,1.752,1.800
1.000,1.752,1.800
1.000,1.752,1.800
1.000,1.752,1.800
1.000,1.752,1.800
1.000,1.752,1.800
1.000,1.752,1.800
1.000,1.752,1.800
1.000,1.752,1.800
1.000,1.752,1.800
1.000,1.752,1.800
1.000,1.751,1.800
1.000,1.750,1.800
1.000,1.749,1.800
1.000,1.746,1.800
1.000,1.740,1.800
1.001,1.727,1.800
1.002,1.703,1.800
1.004,1.655,1.800
1.007,1.564,1.800
1.011,1.468,1.800
1.015,1.379,1.800
1.019,1.295,1.800
1.023,1.215,1.800
1.027,1.140,1.800
1.031,1.068,1.800
1.035,999.3E-3,1.800
1.039,933.9E-3,1.800
1.044,871.6E-3,1.800
1.048,812.3E-3,1.800
1.053,756.0E-3,1.800
1.057,702.5E-3,1.800
1.062,651.9E-3,1.800
1.067,604.0E-3,1.800
1.072,558.7E-3,1.800
1.078,516.0E-3,1.800
1.083,475.8E-3,1.800
1.089,438.1E-3,1.800
1.094,402.6E-3,1.800
1.100,369.4E-3,1.800
1.106,338.5E-3,1.800
1.113,309.6E-3,1.800
1.119,282.7E-3,1.800
1.126,257.8E-3,1.800
1.133,234.8E-3,1.800
1.140,213.6E-3,1.800
1.148,194.0E-3,1.800
1.155,176.2E-3,1.800
1.164,159.9E-3,1.800
1.172,145.0E-3,1.800
1.181,131.6E-3,1.800
1.190,119.6E-3,1.800
1.200,108.8E-3,1.800
1.210,99.13E-3,1.800
1.221,90.61E-3,1.800
1.233,83.14E-3,1.800
1.245,76.63E-3,1.800
1.258,71.01E-3,1.800
1.272,66.21E-3,1.800
1.287,62.15E-3,1.800
1.303,58.78E-3,1.800
1.320,56.01E-3,1.800
1.339,53.79E-3,1.800
1.360,52.04E-3,1.800
1.383,50.70E-3,1.800
1.408,49.71E-3,1.800
1.437,49.00E-3,1.800
1.471,48.53E-3,1.800
1.509,48.24E-3,1.800
1.556,48.08E-3,1.800
1.613,48.01E-3,1.800
1.683,47.99E-3,1.800
1.753,47.99E-3,1.800
1.823,48.00E-3,1.800
1.893,48.00E-3,1.800
1.963,48.01E-3,1.800
2.000,48.01E-3,1.800
2.000,48.01E-3,1.798
2.000,48.01E-3,1.795
2.000,48.01E-3,1.787
2.000,48.01E-3,1.773
2.000,48.01E-3,1.744
2.000,48.01E-3,1.687
2.000,48.01E-3,1.571
2.000,48.01E-3,1.341
2.000,48.01E-3,880.2E-3
2.000,48.01E-3,419.4E-3
2.000,48.01E-3,189.0E-3
2.000,48.02E-3,94.50E-3
2.000,48.02E-3,0.000
2.000,48.02E-3,0.000
2.000,48.02E-3,0.000
2.000,48.02E-3,0.000
2.000,48.02E-3,0.000
2.000,48.02E-3,0.000
2.000,48.02E-3,0.000
2.000,48.02E-3,0.000
2.000,48.02E-3,0.000
2.000,48.03E-3,0.000
2.000,48.05E-3,0.000
2.000,48.07E-3,0.000
2.000,48.13E-3,0.000
2.000,48.25E-3,0.000
2.000,48.48E-3,0.000
2.000,48.94E-3,0.000
2.000,49.86E-3,0.000
2.000,51.71E-3,0.000
2.000,55.39E-3,0.000
2.001,62.73E-3,0.000
2.001,77.32E-3,0.000
2.002,106.1E-3,0.000
2.004,162.3E-3,0.000
2.008,262.4E-3,0.000
2.012,357.2E-3,0.000
2.016,445.2E-3,0.000
2.020,529.0E-3,0.000
2.024,607.7E-3,0.000
2.028,682.4E-3,0.000
2.032,753.6E-3,0.000
2.037,821.5E-3,0.000
2.041,886.2E-3,0.000
2.045,947.8E-3,0.000
2.050,1.006,0.000
2.055,1.062,0.000
2.059,1.115,0.000
2.064,1.165,0.000
2.069,1.212,0.000
2.074,1.256,0.000
2.080,1.298,0.000
2.085,1.338,0.000
2.091,1.375,0.000
2.097,1.409,0.000
2.103,1.442,0.000
2.109,1.472,0.000
2.115,1.500,0.000
2.122,1.526,0.000
2.129,1.551,0.000
2.136,1.573,0.000
2.143,1.594,0.000
2.151,1.613,0.000
2.159,1.630,0.000
2.167,1.646,0.000
2.176,1.660,0.000
2.185,1.673,0.000
2.194,1.685,0.000
2.204,1.695,0.000
2.215,1.704,0.000
2.226,1.712,0.000
2.237,1.719,0.000
2.250,1.726,0.000
2.263,1.731,0.000
2.277,1.735,0.000
2.293,1.739,0.000
2.309,1.742,0.000
2.327,1.745,0.000
2.347,1.747,0.000
2.368,1.748,0.000
2.392,1.750,0.000
2.419,1.751,0.000
2.449,1.751,0.000
2.485,1.752,0.000
2.526,1.752,0.000
2.576,1.752,0.000
2.638,1.752,0.000
2.708,1.752,0.000
2.778,1.752,0.000
2.848,1.752,0.000
2.918,1.752,0.000
2.988,1.752,0.000
3.000,1.752,0.000
3.000,1.752,1.508E-3
3.000,1.752,4.525E-3
3.000,1.752,10.56E-3
3.000,1.752,22.63E-3
3.000,1.752,46.76E-3
3.000,1.752,95.03E-3
3.000,1.752,191.6E-3
3.000,1.752,384.6E-3
3.000,1.752,642.3E-3
3.000,1.752,900.0E-3
3.000,1.752,900.0E-3
3.000,1.752,900.0E-3
3.000,1.752,900.0E-3
3.000,1.752,900.0E-3
3.000,1.752,900.0E-3
3.000,1.752,900.0E-3
3.000,1.752,900.0E-3
3.000,1.752,900.0E-3
3.000,1.752,900.0E-3
3.000,1.752,900.0E-3
3.000,1.752,900.0E-3
3.000,1.752,900.0E-3
3.000,1.752,900.0E-3
3.000,1.752,900.0E-3
3.000,1.751,900.0E-3
3.000,1.750,900.0E-3
3.000,1.749,900.0E-3
3.000,1.746,900.0E-3
3.001,1.740,900.0E-3
3.002,1.727,900.0E-3
3.004,1.704,900.0E-3
3.007,1.658,900.0E-3
3.012,1.598,900.0E-3
3.017,1.543,900.0E-3
3.022,1.491,900.0E-3
3.027,1.443,900.0E-3
3.032,1.398,900.0E-3
3.038,1.356,900.0E-3
3.043,1.317,900.0E-3
3.049,1.280,900.0E-3
3.054,1.245,900.0E-3
3.060,1.213,900.0E-3
3.066,1.182,900.0E-3
3.073,1.154,900.0E-3
3.079,1.128,900.0E-3
3.086,1.103,900.0E-3
3.093,1.081,900.0E-3
3.100,1.060,900.0E-3
3.108,1.041,900.0E-3
3.116,1.023,900.0E-3
3.124,1.008,900.0E-3
3.133,993.2E-3,900.0E-3
3.142,980.1E-3,900.0E-3
3.151,968.4E-3,900.0E-3
3.161,957.9E-3,900.0E-3
3.172,948.6E-3,900.0E-3
3.183,940.4E-3,900.0E-3
3.194,933.2E-3,900.0E-3
3.207,927.0E-3,900.0E-3
3.220,921.6E-3,900.0E-3
3.234,917.0E-3,900.0E-3
3.249,913.1E-3,900.0E-3
3.266,909.9E-3,900.0E-3
3.283,907.3E-3,900.0E-3
3.303,905.2E-3,900.0E-3
3.324,903.6E-3,900.0E-3
3.348,902.4E-3,900.0E-3
3.374,901.5E-3,900.0E-3
3.405,900.8E-3,900.0E-3
3.439,900.4E-3,900.0E-3
