time (s),/v_out (V),/v_in (V)
0.000,1.756,0.000
7.000E-3,1.756,0.000
21.00E-3,1.756,0.000
49.00E-3,1.756,0.000
105.0E-3,1.756,0.000
175.0E-3,1.756,0.000
245.0E-3,1.756,0.000
315.0E-3,1.756,0.000
385.0E-3,1.756,0.000
455.0E-3,1.756,0.000
525.0E-3,1.756,0.000
595.0E-3,1.756,0.000
665.0E-3,1.756,0.000
735.0E-3,1.756,0.000
805.0E-3,1.756,0.000
875.0E-3,1.756,0.000
945.0E-3,1.756,0.000
1.000,1.756,0.000
1.000,1.756,1.508E-3
1.000,1.756,4.525E-3
1.000,1.756,10.56E-3
1.000,1.756,22.63E-3
1.000,1.756,46.76E-3
1.000,1.756,95.03E-3
1.000,1.756,191.6E-3
1.000,1.756,384.6E-3
1.000,1.756,770.8E-3
1.000,1.756,1.285
1.000,1.756,1.800
1.000,1.756,1.800
1.000,1.756,1.800
1.000,1.756,1.800
1.000,1.756,1.800
1.000,1.756,1.800
1.000,1.756,1.800
1.000,1.756,1.800
1.000,1.756,1.800
1.000,1.756,1.800
1.000,1.756,1.800
1.000,1.756,1.800
1.000,1.755,1.800
1.000,1.755,1.800
1.000,1.755,1.800
1.000,1.755,1.800
1.000,1.754,1.800
1.000,1.752,1.800
1.000,1.748,1.800
1.000,1.741,1.800
1.001,1.727,1.800
1.002,1.698,1.800
1.004,1.642,1.800
1.007,1.542,1.800
1.010,1.447,1.800
1.014,1.359,1.800
1.017,1.275,1.800
1.020,1.196,1.800
1.024,1.121,1.800
1.027,1.050,1.800
1.031,981.5E-3,1.800
1.035,916.5E-3,1.800
1.038,854.6E-3,1.800
1.042,795.8E-3,1.800
1.046,740.0E-3,1.800
1.050,687.0E-3,1.800
1.054,636.9E-3,1.800
1.059,589.5E-3,1.800
1.063,544.7E-3,1.800
1.068,502.5E-3,1.800
1.072,462.9E-3,1.800
1.077,425.6E-3,1.800
1.082,390.6E-3,1.800
1.087,358.0E-3,1.800
1.092,327.5E-3,1.800
1.098,299.0E-3,1.800
1.103,272.7E-3,1.800
1.109,248.2E-3,1.800
1.115,225.6E-3,1.800
1.121,204.8E-3,1.800
1.128,185.7E-3,1.800
1.134,168.2E-3,1.800
1.141,152.3E-3,1.800
1.149,137.8E-3,1.800
1.156,124.8E-3,1.800
1.164,113.0E-3,1.800
1.173,102.5E-3,1.800
1.182,93.18E-3,1.800
1.191,84.95E-3,1.800
1.201,77.73E-3,1.800
1.212,71.46E-3,1.800
1.223,66.06E-3,1.800
1.235,61.47E-3,1.800
1.248,57.60E-3,1.800
1.262,54.39E-3,1.800
1.277,51.78E-3,1.800
1.293,49.69E-3,1.800
1.312,48.05E-3,1.800
1.332,46.81E-3,1.800
1.354,45.91E-3,1.800
1.380,45.27E-3,1.800
1.409,44.86E-3,1.800
1.444,44.61E-3,1.800
1.486,44.47E-3,1.800
1.537,44.42E-3,1.800
1.604,44.41E-3,1.800
1.674,44.41E-3,1.800
1.744,44.42E-3,1.800
1.814,44.42E-3,1.800
1.884,44.42E-3,1.800
1.954,44.43E-3,1.800
2.000,44.43E-3,1.800
2.000,44.43E-3,1.798
2.000,44.43E-3,1.795
2.000,44.43E-3,1.787
2.000,44.43E-3,1.773
2.000,44.43E-3,1.744
2.000,44.43E-3,1.687
2.000,44.43E-3,1.571
2.000,44.43E-3,1.341
2.000,44.43E-3,880.2E-3
2.000,44.43E-3,419.4E-3
2.000,44.43E-3,189.0E-3
2.000,44.44E-3,94.50E-3
2.000,44.44E-3,0.000
2.000,44.44E-3,0.000
2.000,44.44E-3,0.000
2.000,44.44E-3,0.000
2.000,44.44E-3,0.000
2.000,44.44E-3,0.000
2.000,44.44E-3,0.000
2.000,44.44E-3,0.000
2.000,44.45E-3,0.000
2.000,44.45E-3,0.000
2.000,44.47E-3,0.000
2.000,44.50E-3,0.000
2.000,44.57E-3,0.000
2.000,44.71E-3,0.000
2.000,44.98E-3,0.000
2.000,45.53E-3,0.000
2.000,46.62E-3,0.000
2.000,48.80E-3,0.000
2.000,53.15E-3,0.000
2.001,61.83E-3,0.000
2.001,79.04E-3,0.000
2.002,112.9E-3,0.000
2.004,178.7E-3,0.000
2.008,277.9E-3,0.000
2.011,371.4E-3,0.000
2.014,458.8E-3,0.000
2.018,541.8E-3,0.000
2.021,619.8E-3,0.000
2.024,694.0E-3,0.000
2.028,764.7E-3,0.000
2.032,832.2E-3,0.000
2.035,896.5E-3,0.000
2.039,957.8E-3,0.000
2.043,1.016,0.000
2.047,1.071,0.000
