freq,mag
100.0E-3,997.5E-3
102.3E-3,997.5E-3
104.7E-3,997.5E-3
107.2E-3,997.4E-3
109.6E-3,997.4E-3
112.2E-3,997.4E-3
114.8E-3,997.4E-3
117.5E-3,997.3E-3
120.2E-3,997.3E-3
123.0E-3,997.3E-3
125.9E-3,997.2E-3
128.8E-3,997.2E-3
131.8E-3,997.1E-3
134.9E-3,997.1E-3
138.0E-3,997.1E-3
141.3E-3,997.0E-3
144.5E-3,997.0E-3
147.9E-3,996.9E-3
151.4E-3,996.9E-3
154.9E-3,996.8E-3
158.5E-3,996.7E-3
162.2E-3,996.7E-3
166.0E-3,996.6E-3
169.8E-3,996.6E-3
173.8E-3,996.5E-3
177.8E-3,996.4E-3
182.0E-3,996.3E-3
186.2E-3,996.3E-3
190.5E-3,996.2E-3
195.0E-3,996.1E-3
199.5E-3,996.0E-3
204.2E-3,995.9E-3
208.9E-3,995.8E-3
213.8E-3,995.7E-3
218.8E-3,995.6E-3
223.9E-3,995.5E-3
229.1E-3,995.3E-3
234.4E-3,995.2E-3
239.9E-3,995.1E-3
245.5E-3,994.9E-3
251.2E-3,994.8E-3
257.0E-3,994.6E-3
263.0E-3,994.5E-3
269.2E-3,994.3E-3
275.4E-3,994.1E-3
281.8E-3,994.0E-3
288.4E-3,993.8E-3
295.1E-3,993.6E-3
302.0E-3,993.4E-3
309.0E-3,993.1E-3
316.2E-3,992.9E-3
323.6E-3,992.7E-3
331.1E-3,992.4E-3
338.8E-3,992.2E-3
346.7E-3,991.9E-3
354.8E-3,991.6E-3
363.1E-3,991.3E-3
371.5E-3,991.0E-3
380.2E-3,990.7E-3
389.0E-3,990.3E-3
398.1E-3,990.0E-3
407.4E-3,989.6E-3
416.9E-3,989.2E-3
426.6E-3,988.8E-3
436.5E-3,988.4E-3
446.7E-3,987.9E-3
457.1E-3,987.4E-3
467.7E-3,986.9E-3
478.6E-3,986.4E-3
489.8E-3,985.9E-3
501.2E-3,985.3E-3
512.9E-3,984.7E-3
524.8E-3,984.1E-3
537.0E-3,983.5E-3
549.5E-3,982.8E-3
562.3E-3,982.1E-3
575.4E-3,981.4E-3
588.8E-3,980.6E-3
602.6E-3,979.8E-3
616.6E-3,979.0E-3
631.0E-3,978.1E-3
645.7E-3,977.2E-3
660.7E-3,976.3E-3
676.1E-3,975.3E-3
691.8E-3,974.2E-3
707.9E-3,973.2E-3
724.4E-3,972.0E-3
741.3E-3,970.8E-3
758.6E-3,969.6E-3
776.2E-3,968.3E-3
794.3E-3,967.0E-3
812.8E-3,965.6E-3
831.8E-3,964.2E-3
851.1E-3,962.7E-3
871.0E-3,961.1E-3
891.3E-3,959.4E-3
912.0E-3,957.7E-3
933.3E-3,955.9E-3
955.0E-3,954.1E-3
977.2E-3,952.2E-3
1.000,950.1E-3
1.023,948.1E-3
1.047,945.9E-3
1.072,943.6E-3
1.096,941.3E-3
1.122,938.8E-3
1.148,936.3E-3
1.175,933.7E-3
1.202,930.9E-3
1.230,928.1E-3
1.259,925.1E-3
